parcel_id_REMM,TAZID_832,TAZID_900,Tract_GEOID
27303,1024,1144,49035102300
27304,1083,1152,49035102000
27305,1083,1152,49035102000
27306,1083,1152,49035102000
27307,1083,1152,49035102000
27308,1083,1152,49035102000
27309,1083,1152,49035102000
27310,1084,1156,49035102000
27311,1104,1195,49035103000
27312,1104,1195,49035103000
27313,1084,1156,49035102000
27314,1104,1195,49035103000
27315,1104,1195,49035103000
27316,1104,1195,49035103000
27317,1104,1195,49035103000
27318,1084,1156,49035102000
27319,1084,1156,49035102000
27320,1087,1159,49035101800
27321,1087,1159,49035101800
27322,1087,1159,49035101800
27323,1087,1159,49035101800
27324,1087,1159,49035101800
27325,1087,1159,49035101800
27326,1087,1159,49035101800
27327,1087,1159,49035101800
27328,1087,1159,49035101800
27329,1087,1159,49035101800
27335,1128,1233,49035103100
27336,1128,1233,49035103100
27337,1128,1233,49035103100
27338,1128,1233,49035103100
27339,1128,1233,49035103100
28309,1103,1194,49035103000
28310,1103,1194,49035103000
28388,1106,1197,49035103500
28397,1102,1193,49035102900
28413,1102,1193,49035102900
28464,1087,1159,49035101800
29820,1014,1136,49035114000
29821,1102,1193,49035102900
29822,1103,1194,49035103000
30517,1023,1140,49035102300
30518,1023,1140,49035102300
30519,1023,1140,49035102300
30520,1023,1140,49035102300
30521,1023,1140,49035102300
30522,1023,1140,49035102300
30523,1125,1230,49035102900
30524,1125,1230,49035102900
30963,1103,1194,49035103000
31983,1020,1141,49035102300
31985,1021,1145,49035102300
31986,1021,1145,49035102300
31987,1021,1145,49035102300
31988,1021,1145,49035102300
31989,1021,1145,49035102300
31990,1021,1145,49035102300
31991,1021,1145,49035102300
31992,1021,1145,49035102300
31993,1021,1145,49035102300
31994,1021,1145,49035102300
31995,1021,1145,49035102300
31996,1022,1149,49035102300
32001,1082,1153,49035102000
32002,1082,1153,49035102000
32003,1023,1140,49035102300
32004,1023,1140,49035102300
32005,1023,1140,49035102300
32006,1023,1140,49035102300
32007,1023,1140,49035102300
32008,1023,1140,49035102300
32009,1023,1140,49035102300
32010,1023,1140,49035102300
32011,1023,1140,49035102300
32012,1023,1140,49035102300
32013,1023,1140,49035102300
32014,1023,1140,49035102300
32015,1021,1145,49035102300
32016,1021,1145,49035102300
32017,1024,1144,49035102300
32018,1024,1144,49035102300
32019,1024,1144,49035102300
32020,1024,1144,49035102300
32021,1024,1144,49035102300
32022,1024,1144,49035102300
32023,1024,1144,49035102300
32024,1083,1152,49035102000
32026,1087,1159,49035101800
32058,1129,1234,49035103400
32083,1126,1231,49035103100
32085,1126,1231,49035103100
33125,1087,1159,49035101800
33196,1024,1144,49035102300
33199,1020,1141,49035102300
33409,1024,1144,49035102300
33410,1024,1144,49035102300
33411,1024,1144,49035102300
33551,1024,1144,49035102300
33959,1021,1145,49035102300
34921,1021,1145,49035102300
34976,1020,1141,49035102300
34977,1020,1141,49035102300
36416,1008,1137,49035114000
36417,1020,1141,49035102300
36418,1020,1141,49035102300
36419,1020,1141,49035102300
36420,1020,1141,49035102300
36421,1020,1141,49035102300
36455,1008,1137,49035114000
36456,1008,1137,49035114000
36457,1008,1137,49035114000
36458,1008,1137,49035114000
36459,1008,1137,49035114000
36460,1008,1137,49035114000
36461,1008,1137,49035114000
36462,1008,1137,49035114000
36463,1020,1141,49035102300
36464,1020,1141,49035102300
36465,1020,1141,49035102300
36466,1014,1136,49035114000
36467,1014,1136,49035114000
36468,1014,1136,49035114000
36469,1014,1136,49035114000
36470,1014,1136,49035114000
36471,1014,1136,49035114000
36472,1014,1136,49035114000
36473,1014,1136,49035114000
36474,1014,1136,49035114000
36475,1023,1140,49035102300
36476,1023,1140,49035102300
36477,1023,1140,49035102300
36478,1023,1140,49035102300
36479,1023,1140,49035102300
36480,1023,1140,49035102300
36481,1023,1140,49035102300
36482,1023,1140,49035102300
36483,1023,1140,49035102300
36484,1023,1140,49035102300
36485,1023,1140,49035102300
36486,1024,1144,49035102300
36487,1024,1144,49035102300
36488,1024,1144,49035102300
36489,1014,1136,49035114000
36490,1014,1136,49035114000
36491,1014,1136,49035114000
36492,1014,1136,49035114000
36493,1014,1136,49035114000
36494,1014,1136,49035114000
36495,1014,1136,49035114000
36496,1014,1136,49035114000
36497,1014,1136,49035114000
36498,1014,1136,49035114000
36499,1014,1136,49035114000
36500,1014,1136,49035114000
36501,1014,1136,49035114000
36502,1014,1136,49035114000
36503,1014,1136,49035114000
36504,1014,1136,49035114000
36505,1014,1136,49035114000
36506,1023,1140,49035102300
36507,1023,1140,49035102300
36508,1023,1140,49035102300
36509,1023,1140,49035102300
36510,1023,1140,49035102300
36511,1023,1140,49035102300
36512,1023,1140,49035102300
36513,1102,1193,49035102900
36514,1102,1193,49035102900
36515,1103,1194,49035103000
36516,1103,1194,49035103000
36517,1103,1194,49035103000
36518,1103,1194,49035103000
36519,1103,1194,49035103000
36520,1103,1194,49035103000
36521,1103,1194,49035103000
36522,1103,1194,49035103000
36523,1103,1194,49035103000
36524,1023,1140,49035102300
36525,1023,1140,49035102300
36526,1023,1140,49035102300
36527,1023,1140,49035102300
36528,1024,1144,49035102300
36529,1024,1144,49035102300
36530,1024,1144,49035102300
36531,1024,1144,49035102300
36532,1103,1194,49035103000
36533,1103,1194,49035103000
36534,1103,1194,49035103000
36535,1103,1194,49035103000
36536,1103,1194,49035103000
36537,1104,1195,49035103000
36538,1083,1152,49035102000
36539,1084,1156,49035102000
36540,1025,1148,49035102300
36541,1025,1148,49035102300
36542,1025,1148,49035102300
36543,1083,1152,49035102000
36544,1104,1195,49035103000
36545,1104,1195,49035103000
36546,1104,1195,49035103000
36547,1104,1195,49035103000
36548,1104,1195,49035103000
36549,1104,1195,49035103000
36550,1104,1195,49035103000
36551,1104,1195,49035103000
36552,1084,1156,49035102000
36553,1084,1156,49035102000
36554,1084,1156,49035102000
36555,1102,1193,49035102900
36556,1102,1193,49035102900
36557,1102,1193,49035102900
36558,1102,1193,49035102900
36559,1102,1193,49035102900
36560,1102,1193,49035102900
36561,1102,1193,49035102900
36562,1102,1193,49035102900
36563,1102,1193,49035102900
36564,1102,1193,49035102900
36565,1102,1193,49035102900
36566,1102,1193,49035102900
36567,1102,1193,49035102900
36568,1102,1193,49035102900
36569,1102,1193,49035102900
36570,1102,1193,49035102900
36571,1102,1193,49035102900
36572,1102,1193,49035102900
36573,1102,1193,49035102900
36574,1102,1193,49035102900
36575,1102,1193,49035102900
36576,1102,1193,49035102900
36577,1102,1193,49035102900
36578,1103,1194,49035103000
36579,1103,1194,49035103000
36580,1103,1194,49035103000
36581,1103,1194,49035103000
36582,1103,1194,49035103000
36583,1103,1194,49035103000
36584,1103,1194,49035103000
36585,1102,1193,49035102900
36586,1102,1193,49035102900
36587,1102,1193,49035102900
36588,1102,1193,49035102900
36589,1102,1193,49035102900
36590,1125,1230,49035102900
36591,1125,1230,49035102900
36592,1125,1230,49035102900
36593,1125,1230,49035102900
36594,1125,1230,49035102900
36595,1125,1230,49035102900
36596,1125,1230,49035102900
36597,1125,1230,49035102900
36598,1125,1230,49035102900
36599,1103,1194,49035103000
36600,1103,1194,49035103000
36601,1103,1194,49035103000
36602,1103,1194,49035103000
36603,1126,1231,49035103100
36604,1126,1231,49035103100
36605,1104,1195,49035103000
36606,1127,1232,49035103100
36607,1128,1233,49035103100
36608,1128,1233,49035103100
36609,1128,1233,49035103100
36610,1082,1153,49035102000
36611,1082,1153,49035102000
36612,1087,1159,49035101800
36613,1084,1156,49035102000
36614,1084,1156,49035102000
36615,1087,1159,49035101800
36616,1087,1159,49035101800
36617,1087,1159,49035101800
36618,1087,1159,49035101800
36619,1084,1156,49035102000
36620,1084,1156,49035102000
36621,1087,1159,49035101800
36622,1087,1159,49035101800
36623,1087,1159,49035101800
36624,1087,1159,49035101800
36625,1087,1159,49035101800
36626,1087,1159,49035101800
36627,1087,1159,49035101800
36628,1087,1159,49035101800
36629,1087,1159,49035101800
36630,1087,1159,49035101800
36631,1087,1159,49035101800
36632,1087,1159,49035101800
36633,1087,1159,49035101800
36641,1106,1197,49035103500
36642,1106,1197,49035103500
36643,1106,1197,49035103500
36644,1106,1197,49035103500
36645,1106,1197,49035103500
36647,1106,1197,49035103500
36668,1106,1197,49035103500
36669,1106,1197,49035103500
36670,1129,1234,49035103400
36801,1125,1230,49035102900
36802,1125,1230,49035102900
36803,1125,1230,49035102900
36804,1125,1230,49035102900
36806,1125,1230,49035102900
36807,1125,1230,49035102900
38779,1020,1141,49035102300
38788,1103,1194,49035103000
38820,1102,1193,49035102900
38897,1082,1153,49035102000
38898,1014,1136,49035114000
38899,1014,1136,49035114000
38900,1102,1193,49035102900
38974,1023,1140,49035102300
38975,1103,1194,49035103000
38976,1125,1230,49035102900
39211,1023,1140,49035102300
39304,1102,1193,49035102900
39419,1102,1193,49035102900
39425,1125,1230,49035102900
39540,1102,1193,49035102900
39708,1102,1193,49035102900
39723,1102,1193,49035102900
39749,1087,1159,49035101800
39888,1014,1136,49035114000
39889,1103,1194,49035103000
40042,1102,1193,49035102900
40181,1023,1140,49035102300
40182,1023,1140,49035102300
40203,1129,1234,49035103400
40287,1102,1193,49035102900
40288,1102,1193,49035102900
40289,1102,1193,49035102900
40290,1102,1193,49035102900
40291,1102,1193,49035102900
40292,1102,1193,49035102900
40293,1102,1193,49035102900
40294,1102,1193,49035102900
40295,1102,1193,49035102900
40788,1127,1232,49035103100
40933,1023,1140,49035102300
40955,1103,1194,49035103000
40982,1087,1159,49035101800
41175,1014,1136,49035114000
41297,1014,1136,49035114000
41399,1083,1152,49035102000
41530,1106,1197,49035103500
41593,1008,1137,49035114000
44011,1008,1137,49035114000
44015,1008,1137,49035114000
44016,1008,1137,49035114000
44017,1008,1137,49035114000
44018,1014,1136,49035114000
44019,1014,1136,49035114000
44020,1023,1140,49035102300
44021,1103,1194,49035103000
44022,1104,1195,49035103000
44023,1102,1193,49035102900
44024,1102,1193,49035102900
44025,1102,1193,49035102900
44026,1103,1194,49035103000
44027,1102,1193,49035102900
44028,1125,1230,49035102900
44029,1125,1230,49035102900
44030,1125,1230,49035102900
44031,1125,1230,49035102900
44032,1087,1159,49035101800
44034,1125,1230,49035102900
44037,1125,1230,49035102900
44038,1125,1230,49035102900
44039,1125,1230,49035102900
44040,1125,1230,49035102900
44041,1125,1230,49035102900
44043,1125,1230,49035102900
44044,1125,1230,49035102900
44045,1125,1230,49035102900
45837,1008,1137,49035114000
45952,1024,1144,49035102300
46367,1102,1193,49035102900
47371,1103,1194,49035103000
48346,1014,1136,49035114000
49540,1087,1159,49035101800
49707,1021,1145,49035102300
49752,1008,1137,49035114000
49753,1008,1137,49035114000
49754,1020,1141,49035102300
49755,1020,1141,49035102300
49756,1021,1145,49035102300
49757,1021,1145,49035102300
49758,1021,1145,49035102300
49759,1024,1144,49035102300
49760,1024,1144,49035102300
49761,1014,1136,49035114000
49762,1103,1194,49035103000
49763,1023,1140,49035102300
49764,1023,1140,49035102300
49765,1023,1140,49035102300
49766,1023,1140,49035102300
49767,1023,1140,49035102300
49768,1023,1140,49035102300
49769,1023,1140,49035102300
49770,1023,1140,49035102300
49771,1024,1144,49035102300
49772,1024,1144,49035102300
49773,1024,1144,49035102300
49774,1025,1148,49035102300
49775,1025,1148,49035102300
49776,1025,1148,49035102300
49777,1103,1194,49035103000
49778,1103,1194,49035103000
49779,1103,1194,49035103000
49780,1104,1195,49035103000
49781,1082,1153,49035102000
49782,1025,1148,49035102300
49783,1083,1152,49035102000
49784,1104,1195,49035103000
49785,1104,1195,49035103000
49786,1104,1195,49035103000
49787,1104,1195,49035103000
49788,1104,1195,49035103000
49789,1103,1194,49035103000
49790,1102,1193,49035102900
49791,1102,1193,49035102900
49792,1087,1159,49035101800
49793,1087,1159,49035101800
49794,1087,1159,49035101800
49795,1087,1159,49035101800
49801,1129,1234,49035103400
49821,1129,1234,49035103400
49866,1125,1230,49035102900
50826,1125,1230,49035102900
50879,1082,1153,49035102000
50928,1008,1137,49035114000
50929,1024,1144,49035102300
51239,1020,1141,49035102300
51240,1020,1141,49035102300
51350,1020,1141,49035102300
51650,1126,1231,49035103100
52912,1106,1197,49035103500
53137,1023,1140,49035102300
53212,1102,1193,49035102900
53942,1103,1194,49035103000
53945,1103,1194,49035103000
54003,1024,1144,49035102300
54205,1104,1195,49035103000
54244,1127,1232,49035103100
54257,1104,1195,49035103000
54274,1022,1149,49035102300
54275,1104,1195,49035103000
54354,1082,1153,49035102000
54373,1082,1153,49035102000
54389,1083,1152,49035102000
54399,1083,1152,49035102000
54402,1083,1152,49035102000
54499,1084,1156,49035102000
54547,1084,1156,49035102000
54656,1082,1153,49035102000
54825,1087,1159,49035101800
54868,1024,1144,49035102300
54873,1087,1159,49035101800
54936,1104,1195,49035103000
54948,1104,1195,49035103000
54969,1104,1195,49035103000
55028,1082,1153,49035102000
55029,1082,1153,49035102000
55031,1082,1153,49035102000
55032,1103,1194,49035103000
55033,1083,1152,49035102000
55034,1025,1148,49035102300
55035,1102,1193,49035102900
55036,1102,1193,49035102900
55037,1102,1193,49035102900
55038,1102,1193,49035102900
55166,1020,1141,49035102300
55189,1106,1197,49035103500
55361,1087,1159,49035101800
55363,1087,1159,49035101800
55385,1082,1153,49035102000
55386,1024,1144,49035102300
55387,1082,1153,49035102000
55388,1083,1152,49035102000
55389,1084,1156,49035102000
55390,1102,1193,49035102900
55391,1102,1193,49035102900
55392,1104,1195,49035103000
55393,1104,1195,49035103000
55394,1084,1156,49035102000
55395,1084,1156,49035102000
55396,1087,1159,49035101800
55398,1087,1159,49035101800
55399,1087,1159,49035101800
55400,1087,1159,49035101800
55524,1103,1194,49035103000
55575,1084,1156,49035102000
55598,1087,1159,49035101800
55633,1102,1193,49035102900
55634,1102,1193,49035102900
55635,1103,1194,49035103000
55636,1103,1194,49035103000
55637,1103,1194,49035103000
55638,1102,1193,49035102900
55768,1102,1193,49035102900
55783,1103,1194,49035103000
56478,1083,1152,49035102000
57772,1082,1153,49035102000
57773,1082,1153,49035102000
57774,1082,1153,49035102000
57775,1082,1153,49035102000
57776,1082,1153,49035102000
57777,1083,1152,49035102000
57778,1103,1194,49035103000
57779,1103,1194,49035103000
57780,1103,1194,49035103000
57781,1103,1194,49035103000
57782,1103,1194,49035103000
57783,1105,1196,49035103000
60400,1103,1194,49035103000
60770,1103,1194,49035103000
60771,1103,1194,49035103000
60772,1103,1194,49035103000
63662,1128,1233,49035103100
63663,1126,1231,49035103100
63665,1126,1231,49035103100
63679,1106,1197,49035103500
63681,1103,1194,49035103000
63682,1103,1194,49035103000
64357,1008,1137,49035114000
64364,1022,1149,49035102300
64366,1082,1153,49035102000
64367,1008,1137,49035114000
64368,1008,1137,49035114000
64369,1014,1136,49035114000
64370,1014,1136,49035114000
64371,1024,1144,49035102300
64372,1103,1194,49035103000
64373,1103,1194,49035103000
64374,1103,1194,49035103000
64375,1103,1194,49035103000
64376,1103,1194,49035103000
64377,1082,1153,49035102000
64378,1084,1156,49035102000
64379,1083,1152,49035102000
