value,label
-1,All
0,0 (No workers)
1,1 worker
2,2 workers
3,3 workers
4,4 workers
5,5 workers
6,6 workers
7,7 workers
8,8 workers
9,9 workers
10,10 workers
11,11 workers
12,12 workers
13,13 or more workers
995,Missing Response
