value,label,geoType
TT,All,samplesegment
Bo,Box Elder - Tooele - Juab,samplesegment
Ca, Cache,samplesegment
Da,Davis,samplesegment
Ir,Iron,samplesegment
Mo,Morgan - Summit - Wasatch,samplesegment
Sa,Salt Lake,samplesegment
Ut,Utah,samplesegment
Wa,Washington,samplesegment
We,Weber,samplesegment
Al,All other counties,samplesegment
Un,University,samplesegment
--,---AREAS OF INTEREST---,none
WF, Wasatch Front Urban Counties (We/Da/SL/Ut), interestarea
