trip_type,distance_miles_2mibin,income_detailed,trip_weight_sum
5,12,5,9826.5011243341723
4,42,5,20.7219789073858
7,14,5,3743.6810780949991
5,6,5,37542.150613842154
7,6,5,21414.346289452551
995,28,5,2910.9558465875384
7,22,7,3797.9968182004081
7,28,7,3129.5364520656826
3,22,7,107.9139961881462
5,40,7,495.8827884472953
5,24,7,3965.9889326159378
3,24,7,580.973036227424
5,18,7,10329.552519654499
995,14,7,9368.0439175973843
7,24,7,1003.7321123504253
995,24,7,1755.9835255387136
2,22,7,366.51786436442916
995,6,3,8946.4184481970642
5,6,3,4386.3545754348415
5,2,3,23677.906746605429
4,0,3,12141.836941391419
5,12,3,2579.8654811679066
995,8,3,3391.3873281659903
7,8,3,4544.4429805794616
5,4,3,11943.63104558037
995,0,3,36846.526494833612
995,4,3,8719.7474522341
2,4,3,1476.3071478729523
5,0,3,48274.733045327113
2,6,3,2311.7368218129204
4,0,7,33127.373167955891
3,0,8,18800.517701862162
1,12,8,6213.4093256809356
6,10,8,4474.5525654910571
6,2,8,25752.924220984329
3,8,8,687.3070354328072
1,14,8,3375.0858404625078
6,6,8,11104.973563332347
5,14,8,3182.4861407730746
6,20,8,920.52769847057357
3,6,8,3277.8622691554228
6,12,8,1842.5052553365649
6,8,8,5572.8626300040542
5,6,8,33062.535844152859
3,10,8,1235.856355344521
995,10,8,13501.215318187211
995,14,8,6482.1755046871822
1,6,4,11231.923191030553
6,2,4,20689.264818315758
4,0,4,16475.39602033588
3,8,4,2460.3643398589829
5,10,4,6171.7096716763508
7,12,4,2042.5976734098076
1,4,4,15959.710507987633
995,8,4,4112.4398926854292
995,2,4,31336.76971193188
5,4,8,43587.77110425596
1,0,8,16815.125824359049
7,40,8,1570.1734965532848
6,2088,8,0.0
6,32,8,308.15538298901487
6,34,8,852.5801491928429
6,3674,8,230.763697775337
6,52,8,230.763697775337
6,68,8,1122.426438391848
7,68,8,230.763697775337
7,4,8,27787.961564039422
995,648,8,0.0
995,1906,8,0.0
995,32,8,301.25350039172127
1,4,8,11764.062724021775
7,36,8,2472.1842742960107
4,4,8,5217.3892939661573
4,6,8,5791.430974881685
5,12,8,7208.1016441918455
2,3678,8,230.763697775337
2,2,8,8862.3025201698747
4,2,8,14326.808349840303
1,6,8,16058.685666469812
7,108,8,9.53996622032284
7,160,8,6.3362450868617
7,120,8,5.925773987382
6,12,5,5869.6459876068184
6,6,5,8763.9881774565529
1,12,6,5919.4319947145977
3,12,6,1567.7773666813425
5,10,6,14916.749489934533
3,2,6,40088.415028368414
7,8,6,13239.224979406903
7,16,6,4367.9807321390381
7,42,6,2327.7252216460806
7,28,6,3532.3096262652889
7,20,6,3194.8045639942616
7,10,6,9796.1881003708077
7,32,6,1811.5740419987283
1,76,6,8.89552357795737
6,16,6,5532.9499765043929
6,8,6,8175.15993926848
6,26,6,734.57644968444754
1,22,6,3154.5103432119904
2,2,6,19288.30797001141
2,0,6,24048.348223624071
5,32,8,908.51785248026317
5,20,8,2882.8105463566349
7,24,8,589.14982678928993
5,24,8,6341.5430390375541
7,12,8,4423.06906133459
7,32,8,1707.0248295443007
5,34,8,1556.6543857058443
3,18,8,88.446798952234843
5,82,8,0.0
7,18,8,1274.5045226839979
7,92,8,0.0
5,92,8,0.0
7,28,8,337.7354205433337
1,22,8,3862.7095427332461
995,16,8,3987.3320541415055
7,14,8,3583.7631424009983
7,82,8,0.0
5,90,8,0.0
995,22,8,2420.5810641407893
5,18,8,1366.0771093618207
995,28,8,3789.1182820015692
995,48,7,325.14746947638423
995,46,7,787.22803087597288
1,48,7,685.7109101537701
6,40,7,1499.5806600340761
995,36,7,1504.2340838840555
995,50,7,131.15943546803121
995,68,7,20.3840019972767
995,222,7,0.0
995,18,7,8846.6211797969845
995,58,7,391.458756874869
995,52,7,692.55056390193124
995,196,7,0.0
995,194,7,0.0
5,12,7,23895.842478968374
7,68,7,0.0
7,222,7,0.0
995,192,7,0.0
4,6,6,7350.4834447626163
2,4,6,6593.6414637268217
3,10,6,2933.2446505122953
995,24,4,924.56120277140644
7,24,4,855.740142503458
995,126,7,0.0
4,10,7,3892.7177466945923
5,26,7,3810.5657454989291
995,124,7,0.0
7,26,7,2423.0467103320734
6,26,7,2215.6630147726187
3,0,3,32584.184547205768
3,2,3,11267.549124652205
5,8,3,6844.8344908241943
1,6,3,5087.283810856009
1,8,3,2567.8239316159825
7,2,3,39561.447733590772
7,6,3,8501.5000885108784
4,2,2,5714.2550610873686
2,0,3,11828.935696117391
7,0,3,69870.685017092314
7,4,3,12966.839947084978
1,2,3,17706.883076215381
2,2,3,4593.3744377963412
5,32,3,316.66151881420524
5,30,3,43.972427481274579
5,36,3,36.152008027496848
5,26,3,786.33929281201029
6,0,3,35103.2642594032
6,2,3,16641.506569676334
1,0,3,26935.723345526942
995,2,3,21517.645385230007
7,10,3,3889.219310292297
5,10,3,2810.6664448339834
7,32,3,536.90074432039341
4,6,3,4045.9791003808982
4,2,3,2986.5345548924761
3,4,3,4495.3638889086851
1,10,8,9496.8002881194425
995,20,8,7892.01524123272
1,20,8,4481.3976988122849
995,10,6,13214.519152294943
1,0,6,37720.972498119554
6,34,7,599.34446036126974
7,46,7,524.5773893942345
1,60,7,1209.005983707083
6,60,7,1074.2463521548605
5,60,7,0.0
1,42,7,2266.418890840444
7,438,7,250.795175084776
7,218,7,0.0
7,10,7,11737.264102439165
995,216,7,0.0
995,214,7,0.0
5,216,7,0.0
2,0,7,35753.217052405111
5,214,7,250.795175084776
7,16,4,2084.0577731572666
5,48,4,5.92041976392526
5,46,4,0.0
7,42,4,395.19773231945157
5,44,4,11.5436150943879
5,20,4,321.52674721364525
3,48,4,5.92041976392526
4,4,7,13656.094661891153
6,134,7,355.671537502667
6,132,7,355.671537502667
6,94,7,355.671537502667
6,92,7,355.671537502667
6,52,7,530.20778123145408
6,50,7,228.40876334855449
5,8,999,13431.287835959673
2,6,7,3521.2029077172888
5,28,7,2069.6953885595367
5,30,7,614.824572855838
995,30,7,625.73130136256509
7,16,7,4630.89444152739
2,8,5,5198.4514395801125
2,0,999,12563.843103305308
6,4,999,15138.143068630539
5,8,8,9973.1089560444761
3,8,6,6383.25288812785
995,16,6,4683.14924763387
6,4,3,8036.4289996199986
6,6,3,5634.7772424596878
1,4,3,8108.3333150977387
7,22,3,489.00533880299986
1,12,5,10042.147214936091
1,10,5,14823.194763181516
1,14,5,8447.0279037045148
5,134,5,0.0
5,128,5,0.0
5,16,7,7628.73094625761
7,14,7,6976.6223161636544
2,2,7,19870.569708085521
5,6,6,38342.419802413875
3,14,6,2333.3254953909827
7,12,6,20949.437527191694
7,24,6,2332.9920914138261
995,30,6,3940.4535752312104
5,36,6,2620.4817454908971
6,24,6,771.22036804268112
7,26,6,5050.4273537795725
5,22,6,1434.3256013152682
4,4,6,12114.264025404638
7,34,7,383.91765783745382
995,54,7,353.09013214107932
995,60,7,227.63472485512892
995,100,7,0.0
995,34,7,5582.07179449918
2,12,7,3891.3622822153675
995,6,4,9344.9617015778076
5,66,8,32.1554520514661
995,42,8,661.87377749800589
2,36,8,26.383548408228
995,44,10,119.00690800325677
6,44,10,430.07610247575479
7,22,6,2945.3400114978172
5,26,6,1640.0568279778765
5,46,6,436.48180549419311
995,20,999,3363.81651847288
995,12,999,7367.5988358974673
2,4,999,2270.1425782955212
2,2,999,10423.182728318587
7,152,10,0.0
7,104,10,0.0
7,216,10,0.0
3,166,10,0.0
7,258,10,0.0
995,2,10,40504.76136473674
995,50,10,68.2117110439752
995,52,10,0.0
1,12,999,5485.6405832225964
2,26,6,63.002071309668
7,20,999,1675.6802101911062
7,16,999,4775.82899811215
4,2,999,9280.04793653161
5,22,999,5489.818240571125
7,24,999,784.977621145461
3,28,999,78.1810112674692
7,22,999,1620.0745507786949
5,20,999,2293.8019208810188
7,78,999,4.61669956213219
7,8,999,11600.917677251704
7,68,999,0.0
7,6,999,9911.60338836337
7,88,999,424.3008628574637
7,10,999,3808.0890775804992
5,82,999,13.9671087216521
2,8,6,3411.5588825917016
2,6,6,3025.6361651978482
6,10,6,6784.980181345355
2,14,6,471.25926580276888
2,12,6,638.63472286527235
5,22,5,6601.428738773282
4,20,5,725.69223266696076
7,18,5,6671.9378798451844
5,10,5,12360.745677858595
2,4,5,3788.9782934386217
4,10,5,4162.9890095990086
5,20,5,6800.6623006492755
7,20,5,8616.4050224047969
995,20,5,3811.7698669454448
995,18,5,5461.9334544557
4,12,7,4202.05749750388
5,54,7,76.343351747601844
995,48,8,48.482591957321
5,46,8,106.11686562484573
5,48,8,250.880508889524
1,4,5,21120.031479841633
3,56,6,374.685853806917
3,54,6,281.06504694081269
1,12,7,15136.490155603555
3,32,7,74.962076666612
3,34,7,21.171994786290547
6,214,7,0.0
6,98,7,7.06917421309563
6,152,7,0.0
1,8,4,6991.1722439483065
1,0,4,17451.691693727716
1,10,4,6588.3935220660505
6,4,4,11338.839267366791
6,10,4,2419.7740985158493
5,94,5,0.0
6,18,10,1255.874827238915
6,20,10,354.79316153413845
2,0,10,2992.6636748488668
6,38,7,1045.343401087895
7,96,7,14.6958323200702
5,56,7,58.719413793537242
995,50,5,271.64175821083847
995,528,5,0.0
7,80,5,36.822369665165255
7,48,5,548.40585401793885
7,62,5,94.70048158166378
1,32,5,971.99217004637376
6,36,5,1351.8236967852715
995,48,5,192.78167391286621
995,36,5,3312.3070852850133
7,176,5,0.0
7,98,5,0.0
7,66,5,7.2309076990759396
1,26,6,2832.8367428709389
7,124,4,465.887382815248
4,4,3,2618.0963360116557
3,6,3,2013.3382603997072
5,8,2,3962.8892811291253
5,12,2,1438.6182089789868
2,0,4,8711.4112015148548
995,34,999,1271.2556400388751
1,34,999,1070.100454534313
5,2,9,40596.76459047696
5,16,9,1239.5746589877374
5,10,9,13074.138668572929
6,6,6,18015.599563186224
7,14,6,8132.72537053507
1,6,6,29120.865044797272
995,6,999,11703.930740786662
1,6,999,8143.75570303707
6,18,5,3376.5119524999932
1,34,5,1778.2561523235227
6,14,5,4736.3432894459438
6,32,5,1769.8515319893766
4,8,5,3708.2917771383977
995,34,10,1561.9206361210529
1,34,10,50.963817517976395
5,4,10,16258.53399302326
6,8,999,6552.55776561499
5,52,6,267.7972393188216
6,18,8,382.30461927953212
995,12,3,1787.1281588063071
1,14,3,1050.3885143901634
995,22,999,5362.8023436277654
5,16,999,2740.8661074709444
6,16,5,5398.2680006963565
1,18,999,1800.5550555992174
6,18,999,673.28626875766736
6,12,999,3271.4082381394624
6,10,999,1922.2163915843457
7,82,7,252.713909034749
4,92,7,0.0
995,56,10,262.83003799978462
5,58,10,250.46836079828188
1,30,4,6.32941765177289
5,30,4,139.11079337779643
7,30,4,171.42533462835041
995,52,6,342.11254473186887
5,12,999,3456.3933644625449
7,14,999,8599.3342868953569
7,54,999,252.46984737206853
5,54,999,85.1146921390113
3,24,999,627.20620989533188
3,26,999,123.813575809627
995,18,999,1162.3908077710107
995,54,999,1706.2502030375485
995,32,999,1254.4928961318012
5,26,999,1774.3724615096035
7,32,999,229.49076008147426
5,24,999,3802.5933367112289
1,20,999,777.43751227172231
7,56,999,149.627459435009
995,286,999,74.8137297175045
7,1702,999,74.8137297175045
5,40,999,133.51048135407225
995,26,999,296.04910274070141
995,52,999,1461.5806614847879
995,14,2,2270.5195269043688
7,10,2,3155.482947660093
7,22,2,101.03256291789478
6,10,5,9775.3665167252439
995,2,1,13320.491795906404
3,2,1,10519.553501483126
995,16,5,4010.4889394698048
1,22,7,5356.0038373690822
1,20,7,9575.47344519746
3,12,7,1846.4998309645123
3,20,7,1066.0164117320385
1,24,7,1789.8129414440177
4,18,4,3117.3811094120988
7,38,7,433.00400402672091
4,8,4,1015.8853371265537
4,4,4,2942.848478365006
995,122,6,48.3147762155556
5,120,6,73.6505734993224
1,8,9,6087.169384179716
5,12,9,2957.5666035057443
5,2,1,26027.7492418644
4,2,1,3899.4490821412955
4,0,1,6802.9598899785587
7,18,6,5082.8796147885914
995,28,6,1564.6086879477925
6,42,6,753.70639487253641
3,18,6,1239.479411826615
4,46,7,6.54402022593066
6,36,7,2820.602792234426
4,44,7,0.0
4,14,7,1149.5782915865736
995,44,7,181.86350649411213
1,18,7,8522.1883707638062
5,44,999,231.88786021888615
2,42,999,108.834591503751
7,44,999,175.64910993467373
1,42,999,100.57060185667979
5,98,5,0.0
5,54,5,119.93396828567778
7,54,5,8.519420217071211
995,52,5,131.00290234208052
5,40,5,1111.7612272697186
5,30,5,638.7054963174387
4,24,5,229.29540144944596
4,18,5,2222.5344594314693
6,20,5,2167.6644661662435
995,54,5,20.6917008145768
3,52,5,55.244203174515604
2,10,5,2168.1025736279316
995,24,5,4169.888417307181
995,22,5,3854.618416287376
5,52,5,148.69040049139932
1,2,9,6512.3951168423027
5,6,9,11332.539441592076
3,4,9,2512.6975731415819
3,2,9,16027.241583027222
1,0,1,11363.493723068057
7,6,1,6409.85659050763
995,48,6,1121.246004226582
995,36,999,1018.2043351014753
1,36,999,1435.1778250146156
1,22,5,6597.4985609625692
4,26,5,215.35438624318977
6,28,6,2236.973420822696
5,28,6,2450.1235902387671
4,14,999,795.15897950059912
6,6,4,8321.7500606402446
2,12,4,37.862002337565066
3,10,4,1455.5505019557072
995,10,4,2516.419958053596
995,38,7,552.25092224702018
5,38,7,2531.0329589976491
995,12,2,4643.0297253437739
1,12,2,688.784347440563
7,16,2,2613.3994827542765
5,16,2,158.99776257743059
995,38,999,159.38982109633289
1,38,999,1079.9167087065266
5,16,6,5194.7273260902721
5,32,6,719.14195713921174
995,18,6,5481.9852011727953
995,656,6,0.0
6,14,6,4358.9537172847395
6,12,6,8087.5821453133576
7,44,6,1052.4948581241463
995,654,6,0.0
5,20,6,1484.7226672327122
4,8,6,3930.9274130235081
6,18,6,989.84030439216417
3,46,6,241.74613929423788
7,50,6,73.171669951467891
995,4,1,8227.2199110767524
2,4,1,606.21647728941844
6,26,5,1521.2419740842902
6,30,5,1068.38389075628
3,30,4,187.37166609502242
5,32,4,370.88355982164916
1,14,4,2486.0264354500655
6,16,4,1049.4675446101003
5,18,6,5405.4329391373067
6,0,1,8308.1586288071921
5,28,999,6137.7529596488021
4,10,999,2872.524892149851
3,10,999,3443.0673833655192
4,14,2,1307.4611784812023
3,40,7,0.0
995,40,7,1822.590762648369
3,46,7,6.47144259965964
6,8,4,5069.01404744579
7,194,6,0.0
995,20,6,1843.2500366186371
7,70,6,51.53156264105548
7,96,6,412.385549758007
7,56,6,157.7606792506329
7,58,6,96.6608717296359
2,2,4,4153.0842646728161
7,20,4,1526.8924249705979
5,28,4,103.79637366542811
995,20,4,811.23299181330208
995,28,4,556.23322839941238
2,8,4,585.96461562332343
3,20,6,5492.7770377368179
5,30,6,4465.0249847185014
1,8,6,11871.813143209631
4,10,6,3410.95829943304
4,18,7,4063.661090833386
1,54,5,253.20714809496317
995,18,9,3310.4332219976523
1,18,9,4566.3952443873332
7,36,10,1752.8353841887729
3,92,10,361.807477694859
7,6,4,6371.8090977850215
5,70,5,2.79233694774165
7,22,5,1740.3478168879694
1,16,5,3783.5431749936115
995,30,5,714.77460303749626
995,70,5,34.767249958197759
5,50,5,263.72952931641
5,68,5,2.79233694774165
995,32,5,2069.70318391493
7,52,5,311.4500522603837
7,50,5,367.21452748590235
4,4,2,2156.6770930762646
2,4,4,2427.3970441809192
4,14,6,1233.3031472167436
4,12,6,1454.1088134101985
3,110,7,8.89514693989531
7,70,7,8.89514693989531
7,40,7,1284.5283966837583
7,6,2,3365.649698043293
5,48,7,859.53022172315707
6,42,7,595.16344351371538
7,44,7,649.78098663131448
7,48,7,119.59486765198341
995,58,6,74.8473537552318
995,70,6,0.0
1,24,6,4955.5800289998215
6,22,6,1026.7334536900571
5,64,6,224.23600378883944
995,64,6,12.08686971303591
6,2,1,1733.9300177046446
3,0,1,17485.081059867516
4,4,1,1823.0165673161407
5,24,5,889.66292237544872
6,22,5,3937.5143368472568
1,24,5,3901.9223828216827
6,24,5,4582.7571182219863
5,6,1,3382.6110970683844
3,6,1,1631.27193527534
995,6,1,3371.4286182447277
7,8,1,4158.0356846427758
4,6,1,1113.6592005381042
995,8,1,1515.6926577293564
4,12,1,358.12633497984217
3,12,1,28.907607876925923
5,10,1,242.21386117819262
4,8,1,3415.3986797667694
5,8,1,5068.3394966705964
1,10,6,12995.109553476314
5,36,7,570.15741892458948
5,34,7,1674.4685219524595
4,22,7,429.31306946954589
