trip_type,distance_miles_2mibin,income_detailed,trip_weight_sum
995,6,5,22627.231686234427
3,8,5,9318.3911517382985
3,36,5,84.1202283595511
7,10,5,8848.34435854882
995,46,5,947.320862289865
995,8,5,20901.566540358872
995,12,5,11202.574912120774
995,10,5,8981.5506398885173
5,46,5,741.61870052903475
5,8,5,25837.900595303134
4,0,5,22941.791790616608
4,2,5,21312.129618133516
5,0,5,263059.65131523914
5,2,5,131300.3922532821
3,12,5,3963.3465253238596
3,10,5,8969.7319259832238
5,14,5,3990.5084662761924
7,8,5,19462.885277161349
7,0,5,172405.27817617683
7,2,5,99584.776792925462
7,12,5,8587.3392099381435
995,0,6,180497.59196280071
995,6,6,29042.659526855557
5,0,6,300137.25638179318
5,12,6,8286.5325441293662
995,26,6,1732.1238355563705
5,2,6,158423.90700771654
7,0,6,175446.99393982804
3,0,6,66597.566935062117
995,12,6,10155.799550717809
995,2,6,116234.20177568102
1,20,5,5334.2966539457966
995,6,7,51594.717022997393
7,2,7,112255.58782522245
3,8,7,6425.5288398787552
3,0,4,23598.792848376652
5,6,4,12791.125209697802
7,0,4,70319.631129901492
5,8,4,8541.4671402676831
1,2,4,20484.558939926741
5,0,4,92256.2151250616
7,2,4,45709.902407328933
4,2,4,11960.973924810587
7,4,4,25423.12487412458
7,8,4,7061.2952451248339
5,46,7,1908.3545101759987
7,0,7,227599.89820288442
7,8,7,27664.322223909592
3,50,7,51.811985457396545
5,0,7,421274.38942950027
3,2,7,58271.361518033154
5,2,7,166796.74080982563
4,6,7,12556.590504740656
3,10,7,3147.1966725875541
5,6,7,58821.385613418708
3,0,7,66218.743635243271
995,2,7,139588.8380911045
5,4,7,96266.076300038592
5,22,7,6157.4874933305246
995,22,7,6914.1415269466834
995,20,7,3214.66299536572
995,12,7,17616.965500592567
5,20,7,9528.3905304960754
7,36,7,3764.7791827792585
7,18,7,6845.195666426247
995,16,7,8358.5141648233275
6,2248,7,977.762891281896
995,4,7,85358.892343995481
7,4,7,61516.356639534053
2,4,7,9428.9300216030952
7,2248,7,993.667632348449
5,4,999,39909.443399577154
4,22,999,54.306063815925555
7,18,999,851.70976332030659
4,4,999,3976.9791688780974
7,4,999,28926.411035592962
7,0,999,89852.271548860692
5,0,999,130591.18918998404
3,0,999,24563.648123138079
4,0,999,13320.107289423031
5,6,999,17983.139164002056
7,12,999,6878.2286930145356
7,2,999,49438.688654900434
5,30,999,311.56234687177908
7,42,999,59.42122368670956
5,18,999,2754.6102334427119
995,0,5,145010.6496297472
6,0,5,99846.2493517465
1,0,5,34378.930452306442
3,0,5,48007.522187295544
995,2,8,58088.330485622
1,2,8,15177.262523583042
995,4,8,29387.274673366828
3,4,8,12088.029478054215
6,18,7,4965.0957923743636
6,2,7,54189.15648348879
6,8,7,15427.197589836511
1,16,7,5717.56171252974
1,26,7,1869.1752667561575
1,0,7,53043.548527930507
1,14,7,16148.416433374075
6,14,7,11950.918712100252
6,0,7,86140.58008642419
6,16,7,5443.9939367164843
4,16,7,1878.4449448328219
6,4,7,32871.966955788062
6,6,7,16512.005906929047
7,6,7,49965.6478774291
4,8,7,3836.1690517905586
995,0,7,242130.26488307054
995,8,7,34126.095960831713
995,0,8,72493.156314101943
7,0,8,74712.5211245781
5,2,8,76935.942772030059
995,46,8,331.76406308429813
995,6,8,22301.368486084073
995,790,8,25.157754414907171
7,6,8,14230.819607942123
6,4,8,13586.778806165208
6,0,8,36173.142616234225
1,92,8,12.0177766576465
3,2,8,27919.040166869359
5,16,8,12235.596341500912
5,10,8,18713.655563216824
995,26,8,2417.6736921997394
7,8,8,14353.145146900897
7,2,8,50212.102321107675
2,1472,8,7.32344707961393
2,4,8,2974.3106348487195
995,94,8,7.32344707961393
2,86,8,7.32344707961393
2,0,8,14661.054359315332
3,2,4,24857.105649830082
5,2,4,47620.53889819
995,4,4,16117.546679278761
5,4,4,22145.067136337479
3,4,4,6097.461057558944
3,12,4,2538.9928839034956
5,12,4,6955.6308889133734
995,0,4,46489.840480761726
7,14,4,3279.0001946255284
7,10,4,3303.68072262593
995,12,4,1870.7975774589181
5,18,5,5098.4600231121631
5,4,5,70128.984797684127
4,4,5,6332.8865706474271
995,14,5,9109.2799646447274
995,42,5,276.37011442553057
995,40,5,829.34561827124276
995,4,5,47878.630524712127
3,4,5,13019.711491592801
7,4,5,43790.56044311302
4,6,5,7444.2007409041416
995,0,1,62878.422730215425
2,0,1,41799.721527645284
5,4,1,11261.622497886638
5,0,1,71714.219076689085
7,4,1,13224.045962429116
7,2,1,20619.015467224264
7,0,1,47322.127721747245
995,8,6,16391.95748933237
5,8,6,20838.368417794831
1,0,999,30560.146716740404
5,2,999,60314.896187654922
4,6,999,2001.796259241034
3,2,999,21814.577535222095
995,64,999,651.9427788673961
5,64,999,157.965988109706
7,26,999,980.75161276154915
7,36,999,3511.792199557588
5,36,999,1224.9681221485419
995,4,999,34446.890518673383
995,2,999,57883.2231009786
3,4,999,11610.5956567326
6,0,999,38086.8699447567
1,2,999,16693.531893185223
1,4,999,10525.548418718892
3,6,999,9388.0432787930076
995,0,999,79076.993142975043
1,2,5,45571.459623692223
6,2,5,46439.009472237463
3,2,5,35648.786080357211
995,0,2,44860.121956059229
2,0,2,10932.392471671703
3,2,2,9569.9860221224153
995,10,999,9477.28546346827
1,10,999,9259.3043142723473
5,10,999,4155.0624123336011
1,16,999,5108.1668026637008
1,32,999,383.11637809503736
7,38,999,562.97416776880277
4,40,999,0.0
1,30,999,1998.1424751504053
6,24,999,480.41075363155471
4,8,999,2245.3077113315608
6,28,999,1056.1041121984877
3,40,999,471.666724634838
995,8,999,11521.121662180229
3,42,999,235.833362317419
5,28,5,2302.3967533813352
7,26,5,4527.2093377030187
995,14,999,8827.321037030375
6,14,999,2288.2618564308227
6,10,7,10355.809175850351
1,10,7,14603.577895218472
7,0,2,36618.302196977653
6,4,2,9751.0988267356079
6,10,2,56.461794410631711
6,2,2,12674.726353702576
6,0,2,19207.976601210874
6,8,2,2179.1523050815922
1,0,2,12092.779401945965
4,6,2,2331.9844890405652
5,0,2,58999.679791058152
3,0,2,19756.015999608488
6,6,2,4709.1012393718711
4,0,2,8206.9461682750953
1,2,2,10626.453840835869
1,10,2,1563.4685276305502
5,4,2,11216.53233219187
6,20,2,199.86900035353568
5,18,2,130.30106343901952
7,16,5,5999.00636926666
5,64,5,16.426193307115021
5,60,5,46.206901045280354
7,32,5,2706.5435631349487
7,24,5,5309.5904740423739
7,116,5,88.035274451559573
7,42,5,47.053008798107776
5,104,5,8.8465337639167
5,16,5,4440.5205407714984
7,60,5,84.7295737195751
7,128,5,254.81739414981121
3,104,5,17.6930675278334
995,10,7,19309.050149965609
2,16,7,1156.3482893940923
995,14,9,5924.3573629010261
6,0,9,24538.864058761239
7,4,9,17461.711227623677
3,10,9,3820.5279101943511
6,2,999,14711.443678991316
7,6,6,20676.44783306271
3,4,6,21396.694192364426
1,8,5,18077.191604787364
5,0,9,81029.798839777082
1,12,9,2946.4042082633982
6,2,9,15543.241238197235
6,6,9,4472.3196645552725
6,4,9,11202.858053017819
6,8,9,3602.1823713349477
6,16,9,1981.4915770049538
4,16,9,592.773383474175
7,8,9,3525.5961716597
5,8,9,11404.310060657483
1,4,9,7416.9820927998935
6,10,9,1118.5589427815414
7,2,9,30927.041741700068
7,0,9,62131.125185136421
5,4,9,27423.760810629239
995,8,9,7989.5771720555376
995,2,9,39871.3733565188
995,0,9,65506.224159963858
995,6,9,8990.8377399916189
995,4,9,17290.319295937985
995,10,9,6502.8491275685665
995,28,9,887.232550532948
995,16,9,1030.6038298529513
995,38,9,638.35592320599142
995,12,9,8405.4144026746526
7,28,5,1248.4824563883487
7,36,5,834.4472145692896
3,6,5,5998.1536656566041
6,8,5,9850.1182553375511
7,2,2,20724.774637750153
7,4,2,4613.9966567029742
995,2,2,14796.831072271487
5,2,2,33977.963186907189
6,30,7,2648.0935843573347
5,8,7,40583.927324027361
995,38,5,202.33038265397212
995,4,6,50865.018934284613
4,2,6,23539.684105202283
7,36,6,614.16301790474267
7,4,6,43657.499721848988
7,34,6,322.44450999124041
3,6,6,8551.23963602208
7,2,6,107431.21532087265
995,14,6,9705.6648738709155
5,14,6,5477.7043823584636
995,46,6,574.538310703353
995,24,6,2987.5697561511151
995,22,6,1149.433916524895
995,42,6,496.03493745011008
1,2,6,38533.852394279194
1,4,6,31169.078572198654
6,0,6,73354.9965996301
5,4,6,80552.205699442449
6,4,6,17591.754679614369
6,2,6,35231.517204219424
5,38,2,457.45809634467741
3,6,2,2854.9404586530309
1,46,2,79.5557305190018
995,50,2,126.81156199444919
6,48,2,950.53278717750482
1,50,2,38.2949164228698
1,48,2,38.2949164228698
6,12,2,953.45751754277251
2,2,2,5038.67496430517
4,0,6,18572.795399920677
7,12,7,18714.364681258223
5,14,7,11583.193020882356
1,8,7,24201.334167434026
4,2,7,30207.429745993097
3,6,7,11983.908352278257
3,4,7,24467.105524165137
1,6,7,31500.404785258092
2,8,7,4236.8869712013347
5,5976,5,38.3670346749575
7,102,5,25.1687747467722
7,5974,5,25.1687747467722
7,5976,5,25.1687747467722
995,18,4,1146.2858461402666
6,0,4,45651.874043553165
1,18,4,1283.1946801195788
5,18,4,782.64367977720156
995,40,10,27.578916258278703
995,38,10,444.79872775734083
1,40,10,835.911819884299
6,42,10,0.0
7,4,10,19640.282038193687
7,2,10,37432.370219169024
4,2,10,8244.5944357363369
5,0,10,78136.325937574627
5,22,10,2517.6946730445243
5,2,10,64469.4790824674
6,0,10,13913.357037817461
1,38,10,31.1935295362752
3,2,10,13507.031053598996
3,0,10,10107.479598834389
5,6,10,17904.5323727091
6,36,10,1047.5965957502781
6,2,10,12879.03765720189
4,12,10,871.64902402058146
1,0,10,14820.401517495604
6,8,10,1333.614558936845
995,0,10,50411.800565378253
995,8,10,4821.5325344598305
1,8,10,4209.571463465285
4,0,10,3592.4250340851286
4,16,10,629.70147353194693
7,0,10,60107.535964577954
5,16,10,8754.6345973755288
7,6,10,8465.1720258910118
3,8,10,960.46276424782809
7,18,10,4885.9170867942639
2,8,10,28.961716309161318
1,6,10,6443.5415335751477
6,4,10,7755.9981546821564
5,10,10,9258.02320689254
4,22,10,1913.201915293293
5,40,10,108.5271404541633
7,34,10,1515.489678820946
1,10,10,2721.4308221301071
4,8,10,444.86553053588068
7,10,10,3630.022352561266
995,6,10,17333.153345247989
995,4,10,20501.732561671266
6,6,10,2291.038173601075
3,6,10,3338.9178287335753
3,4,10,8743.875356488843
5,24,10,2117.9830126993752
5,26,10,2452.4659789122056
6,24,10,1541.5656794534225
6,10,10,5588.44526339644
6,38,10,1671.823639768598
1,2,10,10155.046369930147
5,0,8,162798.20285997319
995,8,8,16977.63407801374
1,8,8,4166.200682552244
6,4,5,21517.436729850895
1,6,5,21066.835892486029
995,2,5,81673.183084014643
2,2,5,9899.9716971353919
2,0,5,27477.26202731481
995,76,5,31.6108259939558
1,78,5,25.9366827280407
5,10,7,22374.923263724882
7,20,7,5793.60333584433
1,38,7,1704.8767736273012
6,32,7,4038.4524698404566
1,2,7,45945.207758950834
1,40,7,876.90224142259331
6,12,7,7249.8212344014109
6,24,7,3805.9159473048671
1,4,7,35614.81180337062
6,20,7,1387.7264323299682
995,28,7,734.30614939932548
995,32,7,3240.3297633607863
6,22,7,1582.0596264555659
