,parcel_id_REMM,TOTAL_MKT_VALUE,land_value,residential_units,building_sqft,FLOORS_CNT,year_built,building_type_id,parcel_acres,building_type,CO_NAME,max_dua,max_far,type1,type2,type3,type4,type5,type6,type7,type8,NoBuild,TAZID_832,TAZID_900,Tract_GEOID
0,27303,224100.0,167900.0,0.0,2210,1.0,1977.0,10.0,0.17033454775810242,Church,Salt Lake,15.0,0.5,t,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
1,27304,35000.0,35000.0,0.0,0,0.0,0.0,10.0,0.23164911568164825,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1083,1152,49035102000
2,27305,1224900.0,339000.0,0.0,11780,0.0,1983.0,10.0,2.22505259513855,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1083,1152,49035102000
3,27306,1689300.0,80600.0,0.0,280,0.0,1987.0,10.0,0.5312712788581848,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1083,1152,49035102000
4,27307,13700.0,13700.0,0.0,0,0.0,0.0,10.0,0.09349285811185837,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1083,1152,49035102000
5,27308,43600.0,38000.0,0.0,0,0.0,0.0,10.0,0.24990101158618927,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1083,1152,49035102000
6,27309,28900.0,28900.0,0.0,0,0.0,0.0,10.0,0.1874249428510666,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1083,1152,49035102000
7,27310,251100.0,81600.0,0.0,4555,0.0,1966.0,10.0,0.5123846530914307,Church,Salt Lake,15.0,0.5,t,t,f,f,f,f,f,f,0.0,1084,1156,49035102000
8,27311,92500.0,22400.0,0.0,2240,0.0,1955.0,10.0,0.14461089670658112,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1104,1195,49035103000
9,27312,11200.0,11200.0,0.0,0,0.0,0.0,10.0,0.06735830754041672,Church,Salt Lake,29.04,0.5,t,t,f,f,f,f,f,f,0.0,1104,1195,49035103000
10,27313,398400.0,118000.0,0.0,4208,1.0,1900.0,10.0,0.16414588689804077,Church,Salt Lake,15.0,0.5,t,t,f,f,f,f,f,f,0.0,1084,1156,49035102000
11,27314,319100.0,132400.0,0.0,1450,1.0,1919.0,10.0,0.2082400918006897,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1104,1195,49035103000
12,27315,474800.0,73400.0,0.0,7316,0.0,1964.0,10.0,0.494071900844574,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1104,1195,49035103000
13,27316,19200.0,19200.0,0.0,0,0.0,0.0,10.0,0.12097615748643875,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1104,1195,49035103000
14,27317,989700.0,16000.0,0.0,8791,0.0,1944.0,10.0,0.3503549098968506,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1104,1195,49035103000
15,27318,81000.0,21600.0,0.0,1366,0.0,1942.0,10.0,0.18265441060066223,Church,Salt Lake,15.0,0.5,t,t,f,f,f,f,f,f,0.0,1084,1156,49035102000
16,27319,12800.0,12800.0,0.0,0,0.0,0.0,10.0,0.08454632759094238,Church,Salt Lake,15.0,0.5,t,t,f,f,f,f,f,f,0.0,1084,1156,49035102000
17,27320,63800.0,63800.0,0.0,0,0.0,0.0,10.0,0.5679919123649597,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
18,27321,2200.0,2200.0,0.0,0,0.0,0.0,10.0,0.022710982710123062,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
19,27322,689300.0,53800.0,0.0,19360,0.0,1996.0,10.0,0.48365142941474915,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
20,27323,14600.0,14600.0,0.0,0,0.0,0.0,10.0,0.12800967693328857,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
21,27324,6700.0,6700.0,0.0,0,0.0,0.0,10.0,0.05973796546459198,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
22,27325,5600.0,5600.0,0.0,0,0.0,0.0,10.0,0.046979743987321854,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
23,27326,25800.0,25800.0,0.0,0,0.0,0.0,10.0,0.22711458802223206,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
24,27327,1463200.0,23500.0,0.0,12540,0.0,1935.0,10.0,0.1873677670955658,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
25,27328,21300.0,21300.0,0.0,0,0.0,0.0,10.0,0.18748322129249573,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
26,27329,6700.0,6700.0,0.0,0,0.0,0.0,10.0,0.05677938461303711,Church,Salt Lake,30.0,0.5,t,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
27,27335,278400.0,28900.0,0.0,7462,0.0,1969.0,10.0,0.16698020696640015,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1128,1233,49035103100
28,27336,25500.0,25500.0,0.0,0,0.0,0.0,10.0,0.1457066535949707,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1128,1233,49035103100
29,27337,25500.0,25500.0,0.0,0,0.0,0.0,10.0,0.14570681750774384,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1128,1233,49035103100
30,27338,22100.0,22100.0,0.0,0,0.0,0.0,10.0,0.13142651319503784,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1128,1233,49035103100
31,27339,22100.0,22100.0,0.0,0,0.0,0.0,10.0,0.13171176612377167,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1128,1233,49035103100
32,28309,292700.0,292700.0,0.0,0,0.0,0.0,10.0,1.3610872030258179,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1103,1194,49035103000
33,28310,1336600.0,0.0,0.0,6773,2.0,1916.0,10.0,0.017266925424337387,Church,Salt Lake,8.712,0.5,t,f,f,f,f,f,f,f,0.0,1103,1194,49035103000
34,28388,1222800.0,194500.0,0.0,2382,2.0,1900.0,10.0,0.8150514364242554,Church,Salt Lake,0.0,0.5,f,f,f,f,f,t,f,f,0.0,1106,1197,49035103500
35,28397,6323500.0,107900.0,0.0,720,1.0,2001.0,10.0,2.6626317501068115,Church,Salt Lake,0.0,1.5,f,f,f,t,f,f,f,f,0.0,1102,1193,49035102900
36,28413,1405500.0,432000.0,0.0,13236,2.0,1940.0,10.0,0.5042412281036377,Church,Salt Lake,0.0,1.5,f,f,f,t,f,f,f,f,0.0,1102,1193,49035102900
37,28464,0.0,0.0,0.0,2400,1.0,1922.0,10.0,0.3177632987499237,Church,Salt Lake,43.0,0.5,f,t,f,f,f,f,f,f,0.0,1087,1159,49035101800
38,29820,1285200.0,1003300.0,0.0,7845,1.0,1972.0,13.0,0.6222169399261475,Healthcare,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1014,1136,49035114000
39,29821,331000.0,161900.0,0.0,3318,1.0,1940.0,13.0,0.15616148710250854,Healthcare,Salt Lake,0.0,1.5,f,f,f,t,f,f,f,f,0.0,1102,1193,49035102900
40,29822,203900.0,202800.0,0.0,1661,1.0,1912.0,13.0,0.1437755674123764,Healthcare,Salt Lake,0.0,0.5,t,f,f,t,f,f,f,f,0.0,1103,1194,49035103000
41,30517,195400.0,195400.0,0.0,0,0.0,0.0,9.0,0.12491557747125626,Educational,Salt Lake,0.0,0.5,f,f,f,t,f,f,f,f,0.0,1023,1140,49035102300
42,30518,4072300.0,195400.0,0.0,33597,2.0,1983.0,9.0,0.12541072070598602,Educational,Salt Lake,0.0,0.5,f,f,f,t,f,f,f,f,0.0,1023,1140,49035102300
43,30519,239000.0,239000.0,0.0,0,0.0,0.0,9.0,0.14574110507965088,Educational,Salt Lake,0.0,0.5,f,f,f,t,f,f,f,f,0.0,1023,1140,49035102300
44,30520,146500.0,146500.0,0.0,0,0.0,0.0,9.0,0.09369059652090073,Educational,Salt Lake,0.0,0.5,f,f,f,t,f,f,f,f,0.0,1023,1140,49035102300
45,30521,146500.0,146500.0,0.0,0,0.0,0.0,9.0,0.09369297325611115,Educational,Salt Lake,0.0,0.5,f,f,f,t,f,f,f,f,0.0,1023,1140,49035102300
46,30522,580000.0,580000.0,0.0,0,0.0,0.0,9.0,0.3595975935459137,Educational,Salt Lake,0.0,0.5,f,f,f,t,f,f,f,f,0.0,1023,1140,49035102300
47,30523,3322900.0,1366900.0,0.0,47448,2.0,1968.0,9.0,2.0500078201293945,Educational,Salt Lake,0.0,1.5,f,f,f,t,f,f,f,f,0.0,1125,1230,49035102900
48,30524,274200.0,272800.0,0.0,0,0.0,0.0,9.0,0.31157350540161133,Educational,Salt Lake,0.0,1.5,f,f,f,t,f,f,f,f,0.0,1125,1230,49035102900
49,30963,18637500.0,708500.0,0.0,56000,0.0,2017.0,9.0,4.79139518737793,Educational,Salt Lake,0.0,0.5,f,f,f,f,f,f,f,f,1.0,1103,1194,49035103000
50,31983,518200.0,518200.0,0.0,0,0.0,0.0,6.0,0.23932383954524994,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1020,1141,49035102300
51,31985,241400.0,175800.0,0.0,5166,2.0,1929.0,6.0,0.11020771414041519,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
52,31986,179100.0,179100.0,0.0,0,0.0,0.0,6.0,0.1102292612195015,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
53,31987,2044700.0,841500.0,0.0,23340,1.0,1965.0,6.0,0.6454498171806335,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
54,31988,661000.0,376100.0,0.0,3500,1.0,1969.0,6.0,0.28488683700561523,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
55,31989,91900.0,88400.0,0.0,0,0.0,0.0,6.0,0.09797239303588867,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
56,31990,91600.0,88400.0,0.0,0,0.0,0.0,6.0,0.0979742556810379,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
57,31991,91500.0,91500.0,0.0,0,0.0,0.0,6.0,0.09797452390193939,Governmental,Salt Lake,125.0,0.5,f,t,f,f,t,f,t,f,0.0,1021,1145,49035102300
58,31992,91500.0,91500.0,0.0,0,0.0,0.0,6.0,0.09797697514295578,Governmental,Salt Lake,125.0,0.5,f,t,f,f,t,f,t,f,0.0,1021,1145,49035102300
59,31993,91500.0,91500.0,0.0,0,0.0,0.0,6.0,0.0982949286699295,Governmental,Salt Lake,125.0,0.5,f,t,f,f,t,f,t,f,0.0,1021,1145,49035102300
60,31994,1100900.0,816800.0,0.0,7408,1.0,1940.0,6.0,0.6246587038040161,Governmental,Salt Lake,125.0,0.5,f,t,f,f,f,f,t,f,0.0,1021,1145,49035102300
61,31995,54900.0,54900.0,0.0,0,0.0,0.0,6.0,0.04723932221531868,Governmental,Salt Lake,30.0,0.5,f,t,f,f,t,f,t,f,0.0,1021,1145,49035102300
62,31996,6075300.0,3446200.0,0.0,1,1.0,1991.0,6.0,2.5180904865264893,Governmental,Salt Lake,0.0,0.5,t,t,f,f,f,f,f,f,1.0,1022,1149,49035102300
63,32001,304600.0,304600.0,0.0,0,0.0,0.0,6.0,0.37537139654159546,Governmental,Salt Lake,0.0,0.5,t,t,f,f,f,f,f,f,1.0,1082,1153,49035102000
64,32002,173100.0,173100.0,0.0,0,0.0,0.0,6.0,0.2747949957847595,Governmental,Salt Lake,29.04,0.5,t,t,f,f,f,f,f,f,0.0,1082,1153,49035102000
65,32003,515700.0,402900.0,0.0,5460,1.0,1952.0,6.0,0.2499057501554489,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
66,32004,466700.0,466700.0,0.0,0,0.0,0.0,6.0,0.27485108375549316,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
67,32005,22600.0,22600.0,0.0,0,0.0,0.0,6.0,0.01968309096992016,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
68,32006,204500.0,204500.0,0.0,0,0.0,0.0,6.0,0.19692005217075348,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
69,32007,102300.0,102300.0,0.0,0,0.0,0.0,6.0,0.0984601378440857,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
70,32008,107000.0,107000.0,0.0,0,0.0,0.0,6.0,0.08406875282526016,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
71,32009,5949900.0,473800.0,0.0,89350,2.0,1998.0,6.0,0.26231876015663147,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
72,32010,135000.0,135000.0,0.0,0,0.0,0.0,6.0,0.06775593757629395,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
73,32011,195400.0,195400.0,0.0,0,0.0,0.0,6.0,0.12510591745376587,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
74,32012,2551100.0,531100.0,0.0,56648,1.0,2000.0,6.0,0.32805636525154114,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
75,32013,222100.0,222100.0,0.0,0,0.0,0.0,6.0,0.12939855456352234,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
76,32014,1188500.0,599000.0,0.0,8957,2.0,1950.0,6.0,0.37503600120544434,Governmental,Salt Lake,50.0,9.0,f,t,f,f,f,f,t,f,0.0,1023,1140,49035102300
77,32015,4320300.0,1491400.0,0.0,89208,8.0,1979.0,6.0,1.2498871088027954,Governmental,Salt Lake,85.0,0.5,f,t,f,f,f,f,f,f,0.0,1021,1145,49035102300
78,32016,788000.0,788000.0,0.0,0,0.0,0.0,6.0,0.5948079228401184,Governmental,Salt Lake,0.0,0.5,f,t,f,f,f,f,f,f,1.0,1021,1145,49035102300
79,32017,266600.0,266600.0,0.0,0,0.0,0.0,6.0,0.15613733232021332,Governmental,Salt Lake,43.0,0.5,t,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
80,32018,266600.0,266600.0,0.0,0,0.0,0.0,6.0,0.1561381220817566,Governmental,Salt Lake,43.0,0.5,f,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
81,32019,1208500.0,1078400.0,0.0,0,0.0,0.0,6.0,0.7814634442329407,Governmental,Salt Lake,29.04,0.5,t,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
82,32020,266600.0,266600.0,0.0,0,0.0,0.0,6.0,0.15649740397930145,Governmental,Salt Lake,43.0,0.5,f,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
83,32021,451700.0,451700.0,0.0,0,0.0,0.0,6.0,0.26485130190849304,Governmental,Salt Lake,43.0,0.5,f,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
84,32022,332800.0,329300.0,0.0,0,0.0,0.0,6.0,0.2115185260772705,Governmental,Salt Lake,29.04,0.5,t,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
85,32023,227100.0,224200.0,0.0,0,0.0,0.0,6.0,0.13286060094833374,Governmental,Salt Lake,29.04,0.5,t,t,f,f,f,f,f,f,0.0,1024,1144,49035102300
