file_index,model,transit_scenario,filename,file_path,num_routes
0,application/v910-strategy-testing-rtp,Lin_2019,mag_brt_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\mag_brt_2019.lin,1
1,application/v910-strategy-testing-rtp,Lin_2019,mag_exp_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\mag_exp_2019.lin,2
2,application/v910-strategy-testing-rtp,Lin_2019,mag_lcl_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\mag_lcl_2019.lin,12
3,application/v910-strategy-testing-rtp,Lin_2019,rail_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\rail_2019.lin,5
4,application/v910-strategy-testing-rtp,Lin_2019,wfrc_og_lcl_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_og_lcl_2019.lin,22
5,application/v910-strategy-testing-rtp,Lin_2019,wfrc_sl_brt_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_sl_brt_2019.lin,1
6,application/v910-strategy-testing-rtp,Lin_2019,wfrc_sl_exp_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_sl_exp_2019.lin,11
7,application/v910-strategy-testing-rtp,Lin_2019,wfrc_sl_lcl_2019.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2019\wfrc_sl_lcl_2019.lin,54
8,application/v910-strategy-testing-rtp,Lin_2023,mag_brt_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\mag_brt_2023.lin,1
9,application/v910-strategy-testing-rtp,Lin_2023,mag_exp_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\mag_exp_2023.lin,2
10,application/v910-strategy-testing-rtp,Lin_2023,mag_lcl_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\mag_lcl_2023.lin,10
11,application/v910-strategy-testing-rtp,Lin_2023,rail_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\rail_2023.lin,5
12,application/v910-strategy-testing-rtp,Lin_2023,wfrc_brt_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_brt_2023.lin,1
13,application/v910-strategy-testing-rtp,Lin_2023,wfrc_og_lcl_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_og_lcl_2023.lin,18
14,application/v910-strategy-testing-rtp,Lin_2023,wfrc_sl_exp_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_sl_exp_2023.lin,3
15,application/v910-strategy-testing-rtp,Lin_2023,wfrc_sl_lcl_2023.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2023\wfrc_sl_lcl_2023.lin,40
16,application/v910-strategy-testing-rtp,Lin_2028,mag_brt_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\mag_brt_2028.lin,1
17,application/v910-strategy-testing-rtp,Lin_2028,mag_exp_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\mag_exp_2028.lin,2
18,application/v910-strategy-testing-rtp,Lin_2028,mag_lcl_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\mag_lcl_2028.lin,14
19,application/v910-strategy-testing-rtp,Lin_2028,rail_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\rail_2028.lin,5
20,application/v910-strategy-testing-rtp,Lin_2028,wfrc_brt_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_brt_2028.lin,1
21,application/v910-strategy-testing-rtp,Lin_2028,wfrc_core_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_core_2028.lin,2
22,application/v910-strategy-testing-rtp,Lin_2028,wfrc_og_lcl_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_og_lcl_2028.lin,21
23,application/v910-strategy-testing-rtp,Lin_2028,wfrc_sl_exp_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_sl_exp_2028.lin,3
24,application/v910-strategy-testing-rtp,Lin_2028,wfrc_sl_lcl_2028.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2028\wfrc_sl_lcl_2028.lin,41
25,application/v910-strategy-testing-rtp,Lin_2032,mag_brt_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\mag_brt_2032.lin,5
26,application/v910-strategy-testing-rtp,Lin_2032,mag_lcl_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\mag_lcl_2032.lin,11
27,application/v910-strategy-testing-rtp,Lin_2032,rail_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\rail_2032.lin,5
28,application/v910-strategy-testing-rtp,Lin_2032,wfrc_brt_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_brt_2032.lin,3
29,application/v910-strategy-testing-rtp,Lin_2032,wfrc_core_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_core_2032.lin,16
30,application/v910-strategy-testing-rtp,Lin_2032,wfrc_og_lcl_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_og_lcl_2032.lin,22
31,application/v910-strategy-testing-rtp,Lin_2032,wfrc_sl_exp_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_sl_exp_2032.lin,2
32,application/v910-strategy-testing-rtp,Lin_2032,wfrc_sl_lcl_2032.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032\wfrc_sl_lcl_2032.lin,21
33,application/v910-strategy-testing-rtp,Lin_2032_Needs,mag_brt_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\mag_brt_2032UF.lin,7
34,application/v910-strategy-testing-rtp,Lin_2032_Needs,mag_lcl_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\mag_lcl_2032UF.lin,11
35,application/v910-strategy-testing-rtp,Lin_2032_Needs,rail_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\rail_2032UF.lin,7
36,application/v910-strategy-testing-rtp,Lin_2032_Needs,wfrc_brt_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_brt_2032UF.lin,4
37,application/v910-strategy-testing-rtp,Lin_2032_Needs,wfrc_core_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_core_2032UF.lin,17
38,application/v910-strategy-testing-rtp,Lin_2032_Needs,wfrc_og_lcl_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_og_lcl_2032UF.lin,22
39,application/v910-strategy-testing-rtp,Lin_2032_Needs,wfrc_sl_exp_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_sl_exp_2032UF.lin,2
40,application/v910-strategy-testing-rtp,Lin_2032_Needs,wfrc_sl_lcl_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs\wfrc_sl_lcl_2032UF.lin,21
41,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,mag_brt_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\mag_brt_2032UF.lin,7
42,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,mag_lcl_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\mag_lcl_2032UF.lin,11
43,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,rail_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\rail_2032UF.lin,8
44,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,wfrc_brt_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\wfrc_brt_2032UF.lin,4
45,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,wfrc_core_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\wfrc_core_2032UF.lin,17
46,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,wfrc_og_lcl_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\wfrc_og_lcl_2032UF.lin,22
47,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,wfrc_sl_exp_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\wfrc_sl_exp_2032UF.lin,2
48,application/v910-strategy-testing-rtp,Lin_2032_Needs_MAG,wfrc_sl_lcl_2032UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2032_Needs_MAG\wfrc_sl_lcl_2032UF.lin,21
49,application/v910-strategy-testing-rtp,Lin_2042,mag_brt_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\mag_brt_2042.lin,8
50,application/v910-strategy-testing-rtp,Lin_2042,mag_lcl_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\mag_lcl_2042.lin,10
51,application/v910-strategy-testing-rtp,Lin_2042,rail_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\rail_2042.lin,7
52,application/v910-strategy-testing-rtp,Lin_2042,wfrc_brt_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\wfrc_brt_2042.lin,4
53,application/v910-strategy-testing-rtp,Lin_2042,wfrc_core_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\wfrc_core_2042.lin,25
54,application/v910-strategy-testing-rtp,Lin_2042,wfrc_og_lcl_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\wfrc_og_lcl_2042.lin,19
55,application/v910-strategy-testing-rtp,Lin_2042,wfrc_sl_exp_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\wfrc_sl_exp_2042.lin,2
56,application/v910-strategy-testing-rtp,Lin_2042,wfrc_sl_lcl_2042.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042\wfrc_sl_lcl_2042.lin,18
57,application/v910-strategy-testing-rtp,Lin_2042_Needs,mag_brt_2042UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042_Needs\mag_brt_2042UF.lin,8
58,application/v910-strategy-testing-rtp,Lin_2042_Needs,mag_lcl_2042UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042_Needs\mag_lcl_2042UF.lin,10
59,application/v910-strategy-testing-rtp,Lin_2042_Needs,rail_2042UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042_Needs\rail_2042UF.lin,8
60,application/v910-strategy-testing-rtp,Lin_2042_Needs,wfrc_brt_2042UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042_Needs\wfrc_brt_2042UF.lin,4
61,application/v910-strategy-testing-rtp,Lin_2042_Needs,wfrc_core_2042UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042_Needs\wfrc_core_2042UF.lin,26
62,application/v910-strategy-testing-rtp,Lin_2042_Needs,wfrc_og_lcl_2042UF.lin,S:\Github\WF-TDM-v9x\1_Inputs\4_Transit\Lin_2042_Needs\wfrc_og_lcl_2042UF.lin,19
