STATION,mode,N,NODENAME,X,Y,GEOGKEY,TAZID,STATION_OBS_ID,STATION_OBS,LAT,LON
Crescent View,LRT,15046.0,Crescent View,425630.3295,4488641.506,425630_4488641,1930.0,SLC_1_701_00_TX198094,CRESCENT VIEW STATION,40.544591,-111.878506
Daybreak Parkway,LRT,15011.0,Daybreak Parkway,414410.87395,4488306.61369,414195_4488576,2010.0,SLC_1_703_01_TX101715,DAYBREAK PARKWAY STATION,40.544377,-112.014304
Daybreak Parkway,LRT,15011.0,Daybreak Parkway,414410.87395,4488306.61369,414195_4488576,2010.0,SLC_1_703_00_TX101734,DAYBREAK PARKWAY STATION,40.543811,-112.013905
Decker Lake,LRT,15072.0,Decker Lake,419836.0,4506302.0,419836_4506302,1369.0,SLC_1_704_01_TX101743,DECKER LAKE STATION,40.704288,-111.948681
Decker Lake,LRT,15072.0,Decker Lake,419836.0,4506302.0,419836_4506302,1369.0,SLC_1_704_00_TX101742,DECKER LAKE STATION,40.705035,-111.948675
Draper,CRT,10008.0,Draper,423401.1517,4485422.991,423401_4485422,2117.0,SLC_1_750_01_FR198022,DRAPER STATION,40.515484,-111.904407
Draper,CRT,10008.0,Draper,423401.1517,4485422.991,423401_4485422,2117.0,SLC_1_750_00_FR198022,DRAPER STATION,40.515484,-111.904407
Draper Town Center,LRT,15041.0,Draper Town Center,427118.866,4486445.849,427118_4486445,2123.0,SLC_1_701_01_TX198097,DRAPER TOWN CENTER STATION,40.525675,-111.859915
Draper Town Center,LRT,15041.0,Draper Town Center,427118.866,4486445.849,427118_4486445,2123.0,SLC_1_701_00_TX198098,DRAPER TOWN CENTER STATION,40.525496,-111.858805
East Bay North,,,,,,,,SLC_1_830X_00_830280,EAST BAY NORTH STATION,40.21455,-111.656355
East Bay South,,,,,,,,SLC_1_830X_00_830281,East Bay South Station,40.208882,-111.655204
Fairmont,LRT,,,,,,,SLC_1_720_01_TX198146,FAIRMONT STATION,40.722757,-111.861675
Fairmont,LRT,,,,,,,SLC_1_720_00_TX198146,FAIRMONT STATION,40.722757,-111.861675
Fairpark,LRT,15110.0,Fairpark,422035.0,4513780.0,422035_4513780,1020.0,SLC_1_704_00_TX101996,FAIRPARK STATION,40.77148,-111.924632
Fairpark,LRT,15110.0,Fairpark,422035.0,4513780.0,422035_4513780,1020.0,SLC_1_704_01_TX101995,FAIRPARK STATION,40.771468,-111.923759
Farmington,CRT,10031.0,Farmington,423905.0949,4537796.948,423905_4537796,780.0,SLC_1_750_01_FR301084,FARMINGTON STATION,40.987266,-111.903667
Farmington,CRT,10031.0,Farmington,423905.0949,4537796.948,423905_4537796,780.0,SLC_1_750_00_FR301084,FARMINGTON STATION,40.987266,-111.903667
Fashion Place West,LRT,15068.0,Fashion Place West,424062.0,4498460.0,424062_4498460,1669.0,SLC_1_701_01_TX153041,FASHION PLACE WEST STATION,40.633823,-111.898319
Fashion Place West,LRT,15068.0,Fashion Place West,424062.0,4498460.0,424062_4498460,1669.0,SLC_1_703_01_TX153041,FASHION PLACE WEST STATION,40.633823,-111.898319
Fashion Place West,LRT,15068.0,Fashion Place West,424062.0,4498460.0,424062_4498460,1669.0,SLC_1_703_00_TX153045,FASHION PLACE WEST STATION,40.633116,-111.898355
Fashion Place West,LRT,15068.0,Fashion Place West,424062.0,4498460.0,424062_4498460,1669.0,SLC_1_701_00_TX153045,FASHION PLACE WEST STATION,40.633116,-111.898355
Fort Douglas,LRT,15148.0,Fort Douglas,429519.0,4512697.0,429519_4512697,1052.0,SLC_1_703_00_TX127251,FORT DOUGLAS STATION,40.764059,-111.836427
Fort Douglas,LRT,15148.0,Fort Douglas,429519.0,4512697.0,429519_4512697,1052.0,SLC_1_703_01_TX127247,FORT DOUGLAS STATION,40.764766,-111.836793
Gallivan Plaza,LRT,15133.0,Gallivan Plaza,424766.0,4512872.0,424766_4512872,1077.0,SLC_1_701_00_TX126073,GALLIVAN PLAZA STATION,40.763087,-111.891102
Gallivan Plaza,LRT,15133.0,Gallivan Plaza,424766.0,4512872.0,424766_4512872,1077.0,SLC_1_704_01_TX126071,GALLIVAN PLAZA STATION,40.763855,-111.891071
Gallivan Plaza,LRT,15133.0,Gallivan Plaza,424766.0,4512872.0,424766_4512872,1077.0,SLC_1_704_00_TX126073,GALLIVAN PLAZA STATION,40.763087,-111.891102
Gallivan Plaza,LRT,15133.0,Gallivan Plaza,424766.0,4512872.0,424766_4512872,1077.0,SLC_1_701_01_TX126071,GALLIVAN PLAZA STATION,40.763855,-111.891071
Historic Gardner,LRT,15052.0,Historic Gardner,421813.0,4495654.0,421813_4495654,1745.0,SLC_1_703_01_TX101728,HISTORIC GARDNER STATION,40.608219,-111.924005
Historic Gardner,LRT,15052.0,Historic Gardner,421813.0,4495654.0,421813_4495654,1745.0,SLC_1_703_00_TX101729,HISTORIC GARDNER STATION,40.607889,-111.924723
Historic Sandy,LRT,15056.0,Historic Sandy,425051.0,4493564.0,425051_4493564,1876.0,SLC_1_701_01_TX173021,HISTORIC SANDY STATION,40.589811,-111.885661
Historic Sandy,LRT,15056.0,Historic Sandy,425051.0,4493564.0,425051_4493564,1876.0,SLC_1_701_00_TX173022,HISTORIC SANDY STATION,40.589114,-111.885744
Jackson/Euclid,LRT,15122.0,Jackson/Euclid,422906.0,4513778.0,422906_4513778,1022.0,SLC_1_704_01_TX101993,JACKSON/EUCLID STATION,40.771502,-111.914486
Jackson/Euclid,LRT,15122.0,Jackson/Euclid,422906.0,4513778.0,422906_4513778,1022.0,SLC_1_704_00_TX101994,JACKSON/EUCLID STATION,40.771505,-111.915361
Joaquin,,,,,,,,SLC_1_830X_01_830272,JOAQUIN STATION,40.243018,-111.651313
Joaquin,,,,,,,,SLC_1_830X_00_830272,JOAQUIN STATION,40.243018,-111.651313
Jordan River Service Center,LRT,,,,,,,,,,
Jordan Valley,LRT,15036.0,Jordan Valley,417814.0,4494239.0,417814_4494239,1760.0,SLC_1_703_01_TX101722,JORDAN VALLEY STATION,40.594939,-111.971375
Jordan Valley,LRT,15036.0,Jordan Valley,417814.0,4494239.0,417814_4494239,1760.0,SLC_1_703_00_TX101723,JORDAN VALLEY STATION,40.594708,-111.972171
Kimballs Lane,LRT,15044.0,Kimballs Lane,426156.8878,4487686.105,426156_4487686,2107.0,SLC_1_701_01_TX198095,KIMBALLS LANE STATION,40.536528,-111.872436
Kimballs Lane,LRT,15044.0,Kimballs Lane,426156.8878,4487686.105,426156_4487686,2107.0,SLC_1_701_00_TX198096,KIMBALLS LANE STATION,40.535876,-111.871887
Lakeview,,,,,,,,SLC_1_830X_00_830263,LAKEVIEW STATION,40.273579,-111.70396
Lakeview,,,,,,,,SLC_1_830X_01_830263,LAKEVIEW STATION,40.273579,-111.70396
Layton,CRT,10035.0,Layton,418900.9502,4545515.674,418900_4545515,737.0,SLC_1_750_01_FR301082,LAYTON STATION,41.056903,-111.964955
Layton,CRT,10035.0,Layton,418900.9502,4545515.674,418900_4545515,737.0,SLC_1_750_00_FR301082,LAYTON STATION,41.056903,-111.964955
Lehi,CRT,50040.0,Lehi,423964.9278,4475360.891,423964_4475360,2605.0,SLC_1_750_00_FR801159,LEHI STATION,40.425196,-111.896354
Lehi,CRT,50040.0,Lehi,423964.9278,4475360.891,423964_4475360,2605.0,SLC_1_750_01_FR801159,LEHI STATION,40.425196,-111.896354
Library,LRT,15134.0,Library,425300.0,4512542.0,425300_4512542,1147.0,SLC_1_703_00_TX126074,LIBRARY STATION,40.760643,-111.884956
Library,LRT,15134.0,Library,425300.0,4512542.0,425300_4512542,1147.0,SLC_1_703_01_TX126076,LIBRARY STATION,40.760637,-111.883942
Main Street,,,,,,,,SLC_1_830X_01_830265,MAIN STREET STATION,40.273504,-111.694648
Main Street,,,,,,,,SLC_1_830X_00_830265,MAIN STREET STATION,40.273504,-111.694648
Meadowbrook,LRT,15080.0,Meadowbrook,424237.0,4504457.0,424237_4504457,1491.0,SLC_1_701_01_TX136035,MEADOWBROOK STATION,40.688026,-111.896725
Meadowbrook,LRT,15080.0,Meadowbrook,424237.0,4504457.0,424237_4504457,1491.0,SLC_1_701_00_TX136036,MEADOWBROOK STATION,40.687328,-111.896553
Meadowbrook,LRT,15080.0,Meadowbrook,424237.0,4504457.0,424237_4504457,1491.0,SLC_1_703_01_TX136035,MEADOWBROOK STATION,40.688026,-111.896725
Meadowbrook,LRT,15080.0,Meadowbrook,424237.0,4504457.0,424237_4504457,1491.0,SLC_1_703_00_TX136036,MEADOWBROOK STATION,40.687328,-111.896553
Midvale Center,LRT,15062.0,Midvale Center,424468.0,4495877.0,424468_4495877,1812.0,SLC_1_701_00_TX153049,MIDVALE CENTER STATION,40.609975,-111.892645
Midvale Center,LRT,15062.0,Midvale Center,424468.0,4495877.0,424468_4495877,1812.0,SLC_1_701_01_TX153048,MIDVALE CENTER STATION,40.610541,-111.893216
Midvale Fort Union,LRT,15063.0,Midvale Fort Union,424018.0,4496873.0,424018_4496873,1802.0,SLC_1_701_01_TX153046,MIDVALE FORT UNION STATION,40.619458,-111.898381
Midvale Fort Union,LRT,15063.0,Midvale Fort Union,424018.0,4496873.0,424018_4496873,1802.0,SLC_1_701_00_TX153047,MIDVALE FORT UNION STATION,40.618761,-111.898291
Midvale Rail Service Center,LRT,,,,,,,,,,
Millcreek,LRT,15086.0,Millcreek,424229.0,4505924.0,424229_4505924,1473.0,SLC_1_703_00_TX136034,MILLCREEK STATION,40.700365,-111.896952
Millcreek,LRT,15086.0,Millcreek,424229.0,4505924.0,424229_4505924,1473.0,SLC_1_701_00_TX136034,MILLCREEK STATION,40.700365,-111.896952
Millcreek,LRT,15086.0,Millcreek,424229.0,4505924.0,424229_4505924,1473.0,SLC_1_703_01_TX136033,MILLCREEK STATION,40.701067,-111.896939
Millcreek,LRT,15086.0,Millcreek,424229.0,4505924.0,424229_4505924,1473.0,SLC_1_701_01_TX136033,MILLCREEK STATION,40.701067,-111.896939
Murray Central,CRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_701_01_TX153027,MURRAY CENTRAL STATION,40.660269,-111.895282
Murray Central,CRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_703_01_TX153027,MURRAY CENTRAL STATION,40.660269,-111.895282
Murray Central,CRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_701_00_TX153034,MURRAY CENTRAL STATION,40.659631,-111.895661
Murray Central,CRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_703_00_TX153034,MURRAY CENTRAL STATION,40.659631,-111.895661
Murray Central,CRT,10016.0,Murray Central,424253.3785,4501376.055,424253_4501376,1633.0,SLC_1_750_00_FR198021,MURRAY CENTRAL STATION,40.659758,-111.896432
