STATION,mode,N,NODENAME,X,Y,GEOGKEY,TAZID,STATION_OBS_ID,STATION_OBS,LAT,LON
River Trail,LRT,15085.0,River Trail,421974.0,4508111.0,421974_4508111,1331.0,SLC_1_704_01_TX101739,RIVER TRAIL STATION,40.720605,-111.923811
River Trail,LRT,15085.0,River Trail,421974.0,4508111.0,421974_4508111,1331.0,SLC_1_704_00_TX101738,RIVER TRAIL STATION,40.719897,-111.923801
Roy,CRT,10042.0,Roy,412820.7567,4560266.171,412820_4560266,500.0,SLC_1_750_01_FR601085,ROY STATION,41.188757,-112.039378
Roy,CRT,10042.0,Roy,412820.7567,4560266.171,412820_4560266,500.0,SLC_1_750_00_FR601085,ROY STATION,41.188757,-112.039378
Salt Lake Central,CRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_701_00_TX101404,SALT LAKE CENTRAL STATION,40.761721,-111.908301
Salt Lake Central,CRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_750_00_FR101393,SALT LAKE CENTRAL STATION,40.76234,-111.909052
Salt Lake Central,CRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_750_01_FR101393,SALT LAKE CENTRAL STATION,40.76234,-111.909052
Salt Lake Central,CRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_701_01_TX101394,SALT LAKE CENTRAL STATION,40.762533,-111.908296
Salt Lake Central,LRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_701_00_TX101404,SALT LAKE CENTRAL STATION,40.761721,-111.908301
Salt Lake Central,LRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_750_00_FR101393,SALT LAKE CENTRAL STATION,40.76234,-111.909052
Salt Lake Central,LRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_750_01_FR101393,SALT LAKE CENTRAL STATION,40.76234,-111.909052
Salt Lake Central,LRT,10019.0,Salt Lake Central,423276.393,4512777.323,423276_4512777,1024.0,SLC_1_701_01_TX101394,SALT LAKE CENTRAL STATION,40.762533,-111.908296
Sandy Civic Center,LRT,15051.0,Sandy Civic Center,425124.0,4491486.0,425124_4491486,1898.0,SLC_1_701_01_TX173026,SANDY CIVIC CENTER STATION,40.571127,-111.884681
Sandy Civic Center,LRT,15051.0,Sandy Civic Center,425124.0,4491486.0,425124_4491486,1898.0,SLC_1_701_00_TX173029,SANDY CIVIC CENTER STATION,40.570273,-111.884471
Sandy Expo,LRT,15053.0,Sandy Expo,424991.0,4492658.0,424991_4492658,1875.0,SLC_1_701_01_TX173129,SANDY EXPO STATION,40.581703,-111.886234
Sandy Expo,LRT,15053.0,Sandy Expo,424991.0,4492658.0,424991_4492658,1875.0,SLC_1_701_00_TX173130,SANDY EXPO STATION,40.581007,-111.886429
South Jordan,CRT,10010.0,South Jordan,423760.0,4490625.0,423760_4490625,1973.0,SLC_1_750_00_FR198023,SOUTH JORDAN STATION,40.563155,-111.900753
South Jordan,CRT,10010.0,South Jordan,423760.0,4490625.0,423760_4490625,1973.0,SLC_1_750_01_FR198023,SOUTH JORDAN STATION,40.563155,-111.900753
South Jordan Parkway,LRT,15014.0,South Jordan Parkway,413272.85,4490227.255,413272_4490227,1967.0,SLC_1_703_01_TX101716,SOUTH JORDAN PARKWAY STATION,40.559038,-112.024643
South Jordan Parkway,LRT,15014.0,South Jordan Parkway,413272.85,4490227.255,413272_4490227,1967.0,SLC_1_703_00_TX101717,SOUTH JORDAN PARKWAY STATION,40.558395,-112.024764
South Salt Lake City,LRT,,,,,,,SLC_1_720_00_TX198141,SOUTH SALT LAKE CITY STATION,40.722263,-111.890174
South Salt Lake City,LRT,,,,,,,SLC_1_720_01_TX198141,SOUTH SALT LAKE CITY STATION,40.722263,-111.890174
Stadium,LRT,15143.0,Stadium,428073.0,4512469.0,428073_4512469,1051.0,SLC_1_703_01_TX126109,STADIUM STATION,40.760126,-111.852171
Stadium,LRT,15143.0,Stadium,428073.0,4512469.0,428073_4512469,1051.0,SLC_1_703_00_TX126115,STADIUM STATION,40.759286,-111.852178
Sugarmont,LRT,,,,,,,SLC_1_720_01_TX198145,SUGARMONT STATION,40.722818,-111.865092
Sugarmont,LRT,,,,,,,SLC_1_720_00_TX198145,SUGARMONT STATION,40.722818,-111.865092
Temple Square,LRT,15135.0,Temple Square,424508.0,4513514.0,424508_4513514,1032.0,SLC_1_701_00_TX125084,TEMPLE SQUARE STATION,40.769335,-111.894303
Temple Square,LRT,15135.0,Temple Square,424508.0,4513514.0,424508_4513514,1032.0,SLC_1_704_01_TX125078,TEMPLE SQUARE STATION,40.769353,-111.895321
Temple Square,LRT,15135.0,Temple Square,424508.0,4513514.0,424508_4513514,1032.0,SLC_1_701_01_TX125078,TEMPLE SQUARE STATION,40.769353,-111.895321
Temple Square,LRT,15135.0,Temple Square,424508.0,4513514.0,424508_4513514,1032.0,SLC_1_704_00_TX125084,TEMPLE SQUARE STATION,40.769335,-111.894303
Towne Centre Blvd,,,,,,,,SLC_1_830X_00_830279,TOWNE CENTRE BLVD STATION,40.21685,-111.66097
Trolley,LRT,15138.0,Trolley,426277.0,4512521.0,426277_4512521,1158.0,SLC_1_703_01_TX126095,TROLLEY STATION,40.760664,-111.872527
Trolley,LRT,15138.0,Trolley,426277.0,4512521.0,426277_4512521,1158.0,SLC_1_703_00_TX126081,TROLLEY STATION,40.760672,-111.873552
University Medical Center,LRT,15149.0,University Medical Center,429459.0,4513376.0,429459_4513376,1007.0,SLC_1_703_00_TX127253,UNIVERSITY MEDICAL CENTER,40.769208,-111.838503
University Medical Center,LRT,15149.0,University Medical Center,429459.0,4513376.0,429459_4513376,1007.0,SLC_1_703_01_TX127252,UNIVERSITY MEDICAL CENTER,40.769871,-111.839201
University Place,,,,,,,,SLC_1_830X_00_830285,UNIVERSITY PLACE STATION,40.273239,-111.679555
University Place,,,,,,,,SLC_1_830X_01_830285,UNIVERSITY PLACE STATION,40.273239,-111.679555
University South Campus,LRT,15147.0,University South Campus,428961.0,4512319.0,428961_4512319,1051.0,SLC_1_703_00_TX127243,UNIVERSITY SOUTH CAMPUS STATION,40.760085,-111.839976
