trip_type,distance_miles_2mibin,trip_weight_sum
7,10,46195.137161284052
995,46,2261.2636680793244
995,8,87067.4866972788
995,12,65551.806063219788
995,10,65012.886309275855
5,46,3443.44152220906
7,8,76585.100138055917
7,0,637360.92956631014
7,2,378611.42222630454
7,12,59553.198315448513
995,0,673268.53812228783
995,6,136577.99935773545
5,0,1152253.4223278109
5,12,55833.001184225424
995,26,12564.157946996764
5,2,594176.98402255564
3,0,221109.14311747951
995,2,410561.87529132504
1,20,25841.216075855533
5,6,172516.99057619591
5,8,100526.64029813174
1,2,139341.87899499774
4,2,98420.307125983993
7,4,182738.1287758096
3,50,31.31744854493175
995,16,24089.068361232163
6,2248,977.762891281896
995,4,200267.36933227815
2,4,27829.394681154761
7,2248,993.667632348449
7,18,20010.2125243168
6,0,270132.88632290269
1,0,144565.64970631592
6,18,11458.947764921155
6,2,154897.66289831282
6,8,39484.572254341423
5,22,18807.893459726878
1,16,24501.854059934813
1,26,8222.75654007645
1,14,48095.279338647255
6,14,27738.591953597464
6,16,19538.037694831462
4,16,6320.9364353167821
6,4,90900.324026982256
6,6,56255.277000622162
7,6,96158.790701346836
4,8,15777.884153874762
3,2,194361.86513669477
995,790,25.157754414907171
1,92,12.0177766576465
5,16,37399.793884115941
5,10,77472.0571947645
2,1472,7.32344707961393
995,94,49.788340912348929
2,86,7.32344707961393
2,0,128870.1396493928
5,4,257135.33724169212
3,4,72464.80558033305
3,12,7998.1827056977954
7,14,36809.683349767358
5,18,19414.972904701619
4,4,37063.566523360256
995,14,48341.08593552294
995,42,5385.8453044428479
4,0,90336.763469089987
4,6,32490.333730185142
995,64,348.63514511854885
5,64,2759.2177643848077
1,4,97117.268828003027
3,6,32396.868180975722
1,32,4241.0677640925032
4,40,171.99026711113481
6,24,10733.9286304124
3,40,643.892227840546
3,42,286.31752830631058
6,10,29053.053719203835
1,10,52295.897840843689
6,20,8041.3537259240438
7,32,6292.087488682906
7,60,556.96473301907713
1,8,70448.109961523733
7,28,4100.9101786766814
3,8,24198.694843856927
6,30,5241.3330709984739
995,38,2402.1120520676927
7,36,11675.123199969312
7,34,10576.157614412821
5,14,37605.292198323557
995,24,14005.403026438749
995,22,16654.323475466794
5,38,4659.8066795498389
1,46,1796.7544255193645
995,50,2598.9680558581877
6,48,1855.4515915110035
1,50,290.829902431058
1,48,735.65008334545189
6,12,26920.659838425487
2,2,67761.963871428758
1,6,92716.026749776793
2,8,11010.913188547111
5,5976,38.3670346749575
6,42,3156.3128073953039
1,38,8175.4958873315636
6,36,3776.4757901308826
995,76,560.94142189917409
7,20,18868.817207663331
6,32,3607.1738643754406
1,40,4520.36894126519
995,28,8649.4258311176382
995,32,6703.59322867062
6,22,9223.2493459170946
3,10,12526.133149588895
4,42,165.603231645402
2,6,22815.498995677128
1,12,46433.224066281851
7,40,1003.6832815095283
6,2088,0.0
2,3678,230.763697775337
7,108,166.93293673585316
5,32,6930.6349821554941
5,20,22956.025226662769
7,24,8770.01365484231
5,24,21816.595492509314
5,34,6464.6750702995023
3,18,1534.3872536528759
5,82,1448.7417446394384
7,92,23.3385658961566
1,22,14858.50752094772
7,82,186.72126449064814
995,48,625.79544399934707
995,36,6017.5520072203508
995,68,73.1260761143666
7,68,141.68809692214697
5,30,6040.2442713280534
5,36,5880.1948943898151
5,26,16412.914241436461
995,20,14314.485440412345
6,34,2844.805011313349
7,46,1218.0936754045597
1,60,1267.5011294022113
6,60,2249.4251057434185
5,60,809.05435912918938
1,42,2854.1208606543323
7,438,250.795175084776
7,218,250.229558110467
995,216,0.0
995,214,0.0
5,216,0.0
5,214,289.1485837926374
7,16,23538.622733657277
5,48,1414.3467047625447
7,42,3043.2034104443569
5,44,5336.1834899849337
3,48,229.09989610257526
5,28,13027.709673455036
7,22,11023.951565617997
5,128,204.47912001472051
3,14,4802.5227783394539
995,30,5676.3243878100411
7,26,4313.01272480376
995,54,2082.492066117029
995,34,8127.8312659516614
2,36,1176.8923004671485
995,44,455.86298605693486
6,44,3245.7980101729981
7,152,0.0
7,258,0.0
2,26,1025.6891640580091
3,28,3392.5566208637392
2,14,2511.6298559182983
2,12,5953.3587036315857
4,20,6185.0361982134336
4,10,13723.987793454051
995,18,26079.157344681986
5,54,226.22595282036141
3,32,825.09163954264341
3,34,196.59770504430963
6,40,3163.4309575705688
5,94,0.0
6,38,2421.9272688313449
7,96,14.6958323200702
5,56,2432.1736766998647
995,528,78.5854633482932
7,176,24.5420898293584
1,34,7684.6076186798
5,52,1736.3158089047361
4,92,0.0
995,56,3691.7722043038539
1,30,6569.7595247418676
7,30,8227.29458232381
995,52,3086.8838517570507
7,54,290.64726588373452
3,24,2917.5775876540174
3,26,2723.4720735386277
1,18,22923.972634603455
5,40,3047.137528289712
3,20,2784.0393842452663
1,24,16899.382985785047
4,12,8998.1306038561142
4,18,9274.5165454338148
7,38,2806.2474100348841
4,14,7502.4905443335692
2,42,464.86104485913836
7,44,3601.627242125106
5,98,0.0
4,24,2050.4267635644028
3,52,55.244203174515604
2,10,8268.3311436522381
1,36,4485.54785085215
4,26,2850.9929065101178
6,28,8678.8357608200768
995,656,0.0
7,50,855.21670807515613
3,30,399.92031106748544
995,40,2933.5018384245523
3,46,1242.1961606936677
3,92,361.807477694859
5,70,253.86067892990869
995,70,89.307483232076265
5,50,928.60756527708361
5,68,791.06315794238878
7,52,202.59756530434777
3,110,44.579958944449309
