file_index,name,type,node_index,value
61,BRTFTHLWA_N,tf,64,1.0
61,BRTFTHLWA_N,speed,97,21.0
61,BRTFTHLWA_N,tf,112,1.0
61,FthlDr2100,tf,33,1.0
61,FthlDr2100,speed,40,21.0
61,BRT3533S_Core,tf,1,0.75
61,BRT3533S_Core,tf,2,0.75
61,BRT3533S_Core,tf,55,0.85
65,UVX,tf,65,1.0
65,UVX,speed,67,13.0
65,UVX,tf,69,1.0
65,UVX,speed,81,21.0
65,UVX,speed,90,18.0
65,UVX,tf,100,1.0
67,POM_Rail,speed,1,14.0
67,POM_Rail,speed,5,14.0
67,POM_Rail,speed,8,10.0
67,POM_Rail,speed,10,18.0
67,POM_Rail,speed,12,30.0
67,POM_Rail,speed,18,27.0
67,POM_Rail,speed,21,21.0
68,O603,tf,15,1.2
68,O603,tf,28,1.0
68,O603,delay,29,1.0
68,O603,delay,37,1.0
68,O603,tf,38,1.0
68,StGrid_2_BRT,speed,29,19.0
68,StGrid_2_BRT,tf,76,1.0
68,200So_2,speed,3,11.0
68,200So_2,tf,29,1.0
69,MidValCon,speed,18,36.0
69,MidValCon,tf,26,1.0
69,BRT56_R,tf,1,1.0
69,BRTFTHLWA_N,speed,49,21.0
69,BRTFTHLWA_N,tf,64,1.0
69,BRTFTHLWA_N,speed,97,21.0
69,BRTFTHLWA_N,tf,112,1.0
69,FthlDr2100,tf,33,1.0
69,FthlDr2100,speed,40,21.0
69,BRT3533S_Core,tf,1,0.75
69,BRT3533S_Core,tf,2,0.75
69,BRT3533S_Core,tf,55,0.85
73,UVX,tf,65,1.0
73,UVX,speed,67,13.0
73,UVX,tf,69,1.0
73,UVX,speed,81,21.0
73,UVX,speed,90,18.0
73,UVX,tf,100,1.0
73,BRT_CenCore,speed,19,27.0
73,BRT_CenCore,tf,162,1.0
75,POM_Rail,speed,1,14.0
75,POM_Rail,speed,5,14.0
75,POM_Rail,speed,8,10.0
75,POM_Rail,speed,10,18.0
75,POM_Rail,speed,12,30.0
75,POM_Rail,speed,18,27.0
75,POM_Rail,speed,21,21.0
76,O603,tf,15,1.2
76,O603,tf,28,1.0
76,O603,delay,29,1.0
76,O603,delay,37,1.0
76,O603,tf,38,1.0
76,StGrid_2_BRT,speed,29,19.0
76,StGrid_2_BRT,tf,76,1.0
76,200So_2,speed,3,11.0
76,200So_2,tf,29,1.0
77,MidValCon,speed,18,36.0
77,MidValCon,tf,26,1.0
77,BRTNRedwd_T,tf,1,0.85
77,BRT56_R,tf,1,1.0
77,BRTFTHLWA_N,speed,49,21.0
77,BRTFTHLWA_N,tf,64,1.0
77,BRTFTHLWA_N,speed,97,21.0
77,BRTFTHLWA_N,tf,112,1.0
77,FthlDr2100,tf,33,1.0
77,FthlDr2100,speed,40,21.0
77,BRT3533S_Core,tf,1,0.75
77,BRT3533S_Core,tf,2,0.75
77,BRT3533S_Core,tf,55,0.85
81,UVX,tf,65,1.0
81,UVX,speed,67,13.0
81,UVX,tf,69,1.0
81,UVX,speed,81,21.0
81,UVX,speed,90,18.0
81,UVX,tf,100,1.0
81,UVX,tf,142,1.0
81,UVX,speed,142,18.0
81,UVX,tf,184,1.0
81,UVX,speed,194,21.0
81,UVX,speed,203,13.0
81,UVX,tf,215,1.0
81,BRT_CenCore,speed,19,27.0
81,BRT_CenCore,tf,162,1.0
83,POM_Rail,speed,1,14.0
83,POM_Rail,speed,5,14.0
83,POM_Rail,speed,8,10.0
83,POM_Rail,speed,10,18.0
83,POM_Rail,speed,12,30.0
83,POM_Rail,speed,18,27.0
83,POM_Rail,speed,21,21.0
84,O603,tf,15,1.2
84,O603,tf,28,1.0
84,O603,delay,29,1.0
84,O603,delay,37,1.0
84,O603,tf,38,1.0
84,StGrid_2_BRT,speed,29,19.0
84,StGrid_2_BRT,tf,76,1.0
84,200So_2,speed,3,11.0
