,name,type,node_index,value
0,UVX,TF,41,1
1,UVX,SPEED,43,13
2,UVX,TF,45,1
3,UVX,SPEED,57,21
4,UVX,SPEED,66,18
5,UVX,TF,76,1
6,UVX,TF,41,1
7,UVX,SPEED,43,13
8,UVX,TF,45,1
9,UVX,SPEED,57,21
10,UVX,SPEED,66,18
11,UVX,TF,76,1
12,UVX,TF,41,1
13,UVX,SPEED,43,13
14,UVX,TF,45,1
15,UVX,SPEED,57,21
16,UVX,SPEED,66,18
17,UVX,TF,76,1
