file_index,name,color,oneway,headway1,headway2,faresystem,N
0,UVX,3,F,6,10,4,"[66744, -66743, -66750, -66768, 66770, -71485, -66769, -66771, -66775, 66788, -66793, -66810, -66812, -66818, -66828, -66826, -66841, 50024, -66841, -66826, -66825, -66837, -66874, 66882, -66893, -71504, -66922, 66941, -66966, -66985, 67000, -67003, -67023, 67041, -67061, -71553, -71555, -67060, 67059, -67058, -67057, -67066, 67092, -67090, -67091, -67110, -67121, -67147, -67191, 67190, -67187, -67171, -67169, 67172, -67174, -67173, -67175, -67180, -67211, 67255, -67284, -67292, -67299, -67328, -67357, -67366, 67371, -67373, -67374, -67375, -67377, 67380, -67382, 67383, -67391, -67408, -67409, -67413, 67421, -67396, -67411, -60530, -60529, -60528, -67407, -67405, -63443, -67461, 50029]"
1,M807_NoCnty,13,T,30,0,,"[50040, -69611, -69598, -69589, -69585, -69563, -69559, -69586, -69590, -69594, -69597, 69602, -69614, -69641, 69649, -69675, -62003, -69678, -69681, -69680, -69682, -69683, -69677, -62014, -62016, -69672, -69665, -62020, 69660, -69655, -69659, 69662, -69658, 69656, -69661, -69664, 69638, -69595, 69517, -69444, -69421, -69370, -69322, 69310, -69231, -69229, -69237, -69235, 69241, -69238, 69177, -69034, 68967, 68881, -68783, -68743, -68681, -68611, 68610, 68562, -68515, -68480, -68442, -68388, -68342, -68305, -68257, -68218, -68158, -68062, -63477, -67999, -67957, -67951, -63467, -67893, -63462, -67848, -67792, -67766, -67750, -63454, -67701, -63453, -67620, -67601, -67597, -67600, -67604, -67559, -67513, 67516, 67517, 67478, -67477, 67466, -67470, -67474, -67472, -67456, -67437, -67433, -67431, -67418, -67408, -67409, 67413]"
2,M821_Psn,6,F,30,60,,"[65403, -65402, 65401, 65400, 65399, 65398, 65414, -65433, 65443, 71081, -65494, 71090, 65509, 65508, 65506, -65505, 65507, -65513, -71157, 65524, 65531, -65539, -65556, 65566, -65580, -65592, -65603, 65624, -65627, -65631, 65645, 65672, -65687, 65695, -71302, -65775, -71320, -65875, -65953, 65983, 66043, 66061, 66102, 66112, -66111, 66110, 66109, 66108, 66133, 66142, 66192, 66206, -66212, -66214, -66215, 66221, -66242, 66237, -66238, -66220, 66248, 66263, -66273, -66302, -71429, -66339, 66372, -66393, -66434, -66449, -66473, -66489, -66506, 66517, 66516, 66515, 66540, 66560, 66582, 66600, 66599, 66603, 66636, 66647, 66681, 66689, -66697, 66707, -66712, 66717, 66720, 66725, -66730, 66737, -66735, -66740, -66742, -66746, -66741, 66743, -66750, -66768, 66770, -71485, -66769, 66790, -71488, 66825, -66826, -66828, -66840, -66841, 50024]"
2,M822_Psn,6,F,60,0,,"[65403, -65402, 65401, 65400, 65399, 65398, 65414, -65433, 65443, 71081, -65494, 71090, 65509, 65508, 65506, 65505, 65507, -65513, -71157, 65524, 65531, -65539, -65556, 65566, -65580, -65592, -65603, 65624, -65627, 65631, 65645, 65672, -65687, 65695, -71302, -65775, -71320, -65875, -65953, 65983, 66043, 66061, 66102, 66112, 66111, 66110, 66109, 66108, 66133, 66142, 66192, 66206, -66212, -66214, -66215, 66221, -66242, 66237, -66238, -66220, 66248, 66263, -66273, -66302, -71429, -66339, 66372, -66393, -66434, -66449, -66473, -66489, -66506, 66517, 66516, 66515, 66540, 66560, 66582, 66600, 66599, 66603, 66636, 66647, 66681, -66689, -66697, 66707, -66712, 66717, -66720, 66725, -66730, 66737, -66752, 66781, 66801, -66834, -66836, -66844, 66876, 66885, 66928, 66930, -66973, 66978, 66997, 67020, -67038, -67056, -67078, -67091, 67090, -67092, -67066, -67057, -67058, -67059, -67060, -71555, -71553, -67061, -67073, -67105, -67114, -67132, -67155, -67175, -67180, -67211, 67255, -67284, -67292, -67299, -67328, -67357, -67366, -67371, -67373, -67374, -67375, -67377, -67380, -67382, -67383, -67391, -67408, -67409, -67413, 67421]"
2,M831_WPr,7,F,30,30,,"[50024, -66841, -66826, 66825, -66837, 66874, -66882, -66893, -71505, 66890, -71511, 66889, 66887, 66886, 66885, 66928, 66930, 66973, 66978, 66997, 67020, -67038, -67056, -67078, -67091, 67090, -67092, -67066, -67057, 67058, -67059, 67060, -71555, -71553, 67061, -67073, 67105, 67114, 67132, 67155, 67175, 67180, 67211, 67244, 67263, 67266, -67259, -67255, 67249, 67230, 67198, -67196, 67195, 67192, -67164, -67156, 67157, 67159, -67160, 67161, 67163, 67186, 67203, -67212, 67234, 67280, 67307, 67326, 67365, 67380, 67382, 67383, 67354, 67329, 67330, 67360, -67392, -67396, -67421, 67413, -67409, -67408, -67418, -67431, -67433, 67437, 67456, -67472, -67474, -67470, -67466, -67477, 67478, 67517]"
2,M862_Orem,7,F,30,30,,"[50029, -67461, -63443, 67405, 67407, -60528, -60529, -60530, -67411, -67396, 67421, -67413, -67409, -67408, -67418, -67431, -67433, -67437, 67456, 67472, -67474, -67470, 67466, -67477, 67478, 67517, 67516, 67513, 67559, 67604, 67625, 67665, -67692, 67708, -67731, 67786, -67841, 67855, 67865, -67888, -67906, -67922, 67950, 67993, 68028, -68045, 68060, 68063, 68066, -68068, 68069, 68071, 68070, 68067, 68064, 68059, 68061, 68054, -68042, -67989, 67958, 67880, 67823, 67771, -67726, 67667, 67629, 67581, 67550, 67494, -67446, 67432, 67393, -67366, 67371, -67373, -67374, -67394, -67427, -67447, 67497, 67496, -67495, 67494]"
4,S455,9,T,35,55,,"[28936, 28909, 28888, -28880, 28870, -28855, 28851, 28830, -28812, 10046, -28812, -28808, -28806, -28796, 28790, 28772, 28747, 28722, -28731, 28744, -28753, 28768, -28775, 28785, 28767, 28740, -28751, 28766, -28791, 28819, 28858, 28894, 28877, 28841, -28779, -28797, 28820, -28797, -28779, 28727, 28678, 28651, 28631, 28619, 28595, -28579, -28566, -28548, 28535, 28519, 28456, 28430, 28431, -28427, -28424, -28506, -28505, 28485, -28475, -28460, -28450, -28443, -28418, 28394, -28380, -28308, 28258, -28169, 28149, -28118, 28061, 28038, -28023, 27985, -27955, 27935, 27910, -27875, -27824, -27798, -27751, -27675, -27618, -27526, -27449, 27387, 27396, -27403, -27404, 27379, -27367, 27358, -27349, -27330, -27324, 27306, -27286, 27281, -27271, -27240, 27228, -27204, -27166, -29821, -27137, -27082, 10031, -27082, -27137, -29821, -27166, -27204, 27228, -27240, -27271, 27281, -27286, 27306, -27303, -27304, -27310, -27332, 27337, -27335, 27287, 27239, 27257, 27248, 27236, -27126, 27038, 26974, 26889, 26817, 26772, 26743, 26767, 26750, 26739, -26721, 26709, 26687, 26669, 26633, 26616, 26602, 26574, 26569, 26555, 26535, 26514, -26501, 26480, -26468, -26462, 26457, 26435, 26431, -26425, -26407, 26389, -26383, 26359, -26346, -26333, 26330, -26326, 26298, -26284, -26255, 26254, -26249, -26247, -26234, -26225, -26213, -26200, -26176, -26149, -26110, -26053, 25983, -25973, 25972, 25968, -25958, 25929, -25910, 25888, 25848, 25772, 25681, 25639, -25594, 25545, -25570, 25592, 25616, -25636, -25657, 25678, 25698, 25720, -25704, 25677, 25658, 25635, -25618, 25586, 25568, 25540, 25510, 25490, -25517, -25538, 25557, 25584, -25606, -25651, 25673, -25693, 25713, -25722, 25754, 25831, 25879, 25915, -25914, -25890, 25894, 25933, 25981, 26015, 26029, 26078, 26082, 26101, -26168, 26153, 26125, -26126, 26120, -26126, 26125, 26153, -26168, 26101, 26082, 26078, 26029, 26015, 25981, 25933, 25894, -25890, -25914, 25915, 25879, 25831, 25754, -25722, 25713, -25693, 25673, -25651, -25606, 25584, 25557, -25538, -25517, 25490, 25510, 25540, 25568, 25586, -25618, 25635, 25658, 25677, -25704, 25720, 25698, 25678, -25657, -25636, 25616, 25592, -25570, 25545, -25594, 25639, 25681, 25772, 25848, 25888, -25910, 25929, -25958, 25968, 25972, -25973, 25983, -26053, -26091, -26134, -26159, -26211, -26223, -26247, -26249, 26254, -26255, -26284, 26298, -26326, 26330, -26333, -26346, 26359, -26383, 26389, -26407, -26425, 26431, 26435, 26457, -26462, -26468, 26480, -26501, 26514, 26535, 26555, 26569, 26574, 26602, 26616, 26633, 26669, 26687, 26709, -26721, 26739, 26750, 26767, 26743, 26772, 26817, 26889, 26974, 27038, -27126, 27236, 27248, 27257, 27239, 27287, -27335, 27337, -27332, -27310, -27304, -27303, 27306, -27286, 27281, -27271, -27240, 27228, -27204, -27166, -29821, -27137, -27082, 10031, -27082, -27137, -29821, -27166, -27204, 27228, -27240, -27271, 27281, -27286, 27306, -27324, -27330, -27349, 27358, -27367, 27379, -27404, -27403, -27396, -27415, -27435, -27527, -27620, -27678, -27757, -27802, -27827, -27876, 27914, 27937, -27959, 27987, -28025, 28040, 28065, -28122, 28151, -28168, 28259, -28309, -28383, 28403, -28420, -28446, -28454, -28477, 28480, -28497, -28510, -28513, -28434, -28433, 28441, 28456, 28519, 28535, -28548, -28566, -28579, 28595, 28619, 28631, 28651, 28678, 28727, -28779, -28797, 28820, -28797, -28779, 28841, 28877, 28894, 28858, 28819, -28791, 28766, -28751, 28740, 28767, 28785, -28775, 28768, -28753, 28744, -28731, 28722, 28747, 28772, 28790, -28796, -28806, -28808, -28812, 10046, -28812, 28830, 28851, -28855, 28870, -28880, 28888, 28909, 28936]"
4,S470,6,T,20,30,,"[28936, 28909, 28888, -28880, 28870, -28855, -28851, -28830, -28812, 10046, -28812, -28830, 28851, -28859, 28868, 28875, 28887, -28891, 28905, 28886, 28865, 28848, 28823, 28804, 28785, 28767, 28740, 28720, 28703, -28684, 28659, -28647, 28632, 28616, -28601, 28590, -28578, 28555, 28536, -28504, 28459, -28408, 28371, 28333, 28286, 28248, -28241, -28215, 28182, 28154, 28124, 28097, 28079, 28029, 28014, 27982, -27953, 27925, 27879, -27847, 27835, -27810, 27771, -27739, 27702, 27687, -27647, 27633, -27630, -27625, 27617, -27612, 27610, 27605, -27586, -27575, 27567, 27559, 27541, 27524, 27544, 27547, -27553, 27549, 27542, -27528, 27507, 27494, -27552, 27591, -27554, 27529, -27465, 27451, 27443, 27445, 27450, 27459, 27474, -27476, 27469, 27426, 27414, -27408, 27407, -27389, 27387, -27396, -27403, -27404, 27379, -27367, 27358, -27349, -27330, -27324, 27306, -27303, -27304, -27310, -27332, 27337, -27335, 27287, 27239, 27257, 27248, 27236, -27126, 27038, 26974, 26889, 26817, 26772, 26743, 26738, 26720, 26711, 26679, -26662, 26646, -26635, 26617, 26600, -26595, -26591, 26588, 26570, 26558, 26545, 26499, 26474, 26445, 26430, -26420, 26408, -26402, 26395, -26379, -26350, 26343, 26315, 26288, 26262, 26247, -26234, -26225, -26213, -26200, -26176, -26149, -26110, -26053, 25983, -25973, 25972, 25968, -25958, 25929, -25910, 25888, 25848, 25772, 25681, 25639, -25594, 25545, -25570, 25592, 25616, -25636, -25657, 25678, 25698, 25720, -25704, 25677, 25658, 25635, -25618, 25586, 25568, 25540, 25510, 25490, 25510, 25540, 25568, 25586, -25618, 25635, 25658, 25677, -25704, 25720, 25698, 25678, -25657, -25636, 25616, 25592, -25570, 25545, -25594, 25639, 25681, 25772, 25848, 25888, -25910, 25929, -25958, 25968, 25972, -25973, 25983, -26053, -26091, -26134, -26159, -26211, -26223, 26247, 26262, 26288, 26315, 26343, -26350, -26379, 26395, -26402, 26408, -26420, 26430, 26445, 26474, 26499, 26545, 26558, 26570, 26588, -26591, -26595, 26600, 26617, -26635, 26646, -26662, 26679, 26711, 26720, 26738, 26743, 26772, 26817, 26889, 26974, 27038, -27126, 27236, 27248, 27257, 27239, 27287, -27335, 27337, -27332, -27310, -27304, -27303, 27306, -27324, -27330, -27349, 27358, -27367, 27379, -27404, -27403, -27396, 27387, -27389, 27407, -27408, 27414, 27426, 27469, -27476, 27474, 27459, 27450, 27445, 27443, 27451, -27465, 27529, -27554, 27591, -27552, 27494, 27507, -27528, 27542, 27549, -27553, 27547, 27544, 27524, 27541, 27559, 27567, -27575, -27586, 10036, -27586, 27605, 27610, -27612, 27617, -27625, -27630, 27633, -27647, 27687, 27702, -27739, 27771, -27810, 27835, -27847, 27879, 27925, -27953, 27982, 28014, 28029, 28079, 28097, 28124, 28154, 28182, -28215, -28241, 28248, 28286, 28333, 28371, -28408, 28459, -28504, 28536, 28555, -28578, 28590, -28601, 28616, 28632, -28647, 28659, -28684, 28703, 28720, 28740, 28767, 28785, 28804, 28823, 28848, 28865, 28886, 28905, -28891, 28887, 28875, 28868, -28859, 28851, -28830, -28812, 10046, -28812, -28830, -28851, -28855, 28870, -28880, 28888, 28909, 28936]"
4,O603,3,F,15,15,,"[28661, -28665, 28678, 28727, 28779, -28797, 28820, -28797, 28779, 28841, 28877, 28894, 28918, -28927, 28932, -28951, 28963, 28933, 28899, 28871, 28845, -28835, 28823, -28813, 28805, -28795, 28788, -28777, 28772, 28790, -28796, -28806, -28808, -28812, 10046]"
4,O650,3,F,30,60,,"[10046, -28812, -28808, -28806, -28796, -28790, -28772, -28747, -28722, -28705, -28689, -28674, -28658, -28636, -28604, -28590, -28601, -28616, -28632, -28644, -28654, -28675, -28687, -28715, -28746, -28758, -28779, 28727]"
