name,longname,color,mode,oneway,headway1,headway2,faresystem,file_index,node_list
M850_StateStreet,,2,4,True,15,15,,2,"[50040, -69611, -69598, -69589, -69585, -69563, 69559, -69554, 69542, -69540, -69539, -69536, -69528, -69493, -69472, -69482, -62247, 69473, 69470, -69462, -69445, 69403, 69379, -69373, 69363, -69315, 69311, 69293, 69270, 69251, -69196, 69176, 69124, -69074, -69052, 69022, 68963, 68928, 68922, 68920, 68919, 68918, -68916, 68880, 68858, 68816, 68792, 68760, -68745, 68712, -68696, 68670, 68669, 68637, 68610, 68562, -68515, 68506, 68457, 68402, 71591, 68307, 68287, 68213, 68196, 68153, 68131, 68069, 68035, 68000, 67947, 67883, 67822, 67777, 67728, 67679, 67639, 67589, 67547, 67497, -67496, -67495, 67494, 67446, 67432, 67393, -67366, 67371, -67373, -67374, 67344, 67321, 67302, 67294, 67286, 67246, 67218, 67192, 67158, -67141, 67137, 67099, 67075, 67044, 67029, 67005, 66990, 66986, 66988, 66987, 66985, 66966, 66941, 66922, -71504, 66893, -66882, 66874, -66837, 66825, -66826, -66841, 50024, -66841, -66826, 66825, -66837, 66874, -66882, 66893, -71504, 66922, 66941, 66966, 66985, 66987, 66988, 66986, 66990, 67005, 67029, 67044, 67075, 67099, 67137, -67141, 67158, 67192, 67218, 67246, 67286, 67294, 67302, 67321, 67344, -67374, -67373, 67371, -67366, 67393, 67432, 67446, 67494, -67495, -67496, 67497, 67547, 67589, 67639, 67679, 67728, 67777, 67822, 67883, 67947, 68000, 68035, 68069, 68131, 68153, 68196, 68213, 68287, 68307, 71591, 68402, 68457, 68506, -68515, 68562, 68610, 68637, 68669, 68670, -68696, 68712, -68745, 68760, 68792, 68816, 68858, 68880, -68916, 68918, 68919, 68920, 68922, 68928, 68963, 69022, -69052, -69074, 69124, 69176, -69196, 69251, 69270, 69293, 69311, -69315, 69363, -69373, 69379, 69403, -69445, -69462, 69470, 69473, -62247, -69482, -69493, -69528, -69536, -69539, -69540, 69542, -69554, 69559, -69563, -69585, -69589, -69598, -69611, 50040]"
M864_ThanksgivingPnt,,2,4,True,30,30,,2,"[50040, -69611, 69612, -69630, -60921, -69610, -69605, -69590, -69594, -69597, 69602, -69614, -69641, 69649, -69650, -71579, -71580, -71584, -69668, -69681, 69696, -69713, 69727, 69725, 69727, -69713, 69696, -69681, -69668, 69647, -69627, 69603, -69587, -69569, -69538, -69543, 69544, -69550, -69584, -69597, -69594, -69590, -60915, 69581, -69547, -69539, -69540, -69542, -69554, 69559, -69563, -69585, -69589, -69598, -69611, 50040]"
M871_SLtoUtahCnty,,2,4,True,30,30,,2,"[50040, -69611, -69598, -69589, -69585, -69563, 69559, -69586, -69590, -69594, -69597, 69602, -69614, -69641, 69649, -69675, -62000, -69673, -69679, -69687, -69685, -69692, -69704, 69716, -69726, -69701, -69690, -71577, 71578, -69702, -69675, -62000, -69673, -60946, -60954, -60958, -60962, -60967, -60971, -60975, -60983, -60990, -60994, -60998, -61001, -20548, -20634, -20718, -20764, -20914, -20975, -21017, -21039, -21137, -21171, -21276, -21325, -21388, -21576, -21640, -21658, 21684, -21711, -21750, -21782, 21816, -21851, -21880, 21860, -21927, 15041, -21927, 21860, -21880, -21851, 21816, -21782, -21750, -21711, 21684, -21658, -21640, -21609, -21570, -21383, -21340, -21343, -21273, -21168, -21135, -21052, -20985, -20929, -20761, -20709, -20630, -20544, -71575, -60996, -60992, -60988, -60985, -60984, -60972, -60969, -60965, -60961, -60957, -60951, -60948, -60949, -60946, -69673, -69679, -69687, -69685, -69692, -69704, -69716, -69726, -69701, -69690, -71577, 71578, -69702, -69675, 69649, -69641, -69614, 69602, -69597, -69594, -69590, -69586, 69559, -69563, -69585, -69589, -69598, -69611, 50040]"
M809_AM-PG,,2,4,True,30,0,,2,"[50035, -68833, -71566, -71568, -68830, -68826, -68846, 68922, 68920, 68919, 68918, -68916, 68880, 68858, 68816, 68792, 68760, -68625, -68546, -68504, -68462, -71586, -68446, -68513, -68532, 68541, -68565, -68576, -68608, -68651, -68670, 68669, 68637, 68610, 68562]"
Blue,Draper to SLC CBD LRT,1,7,False,15,15,,3,"[15041, -15040, 15044, 15046, 15051, 15053, 15056, -15061, 15062, 15063, 15068, 10016, -15073, 15077, 15080, 15086, -15094, 15095, -15100, 15104, 15109, -15114, -15118, -15123, 15127, -15157, 15133, -15156, 15136, -15137, 15135, -15155, -15154, -15131, 15130, 15126, -15125, 15119, -15117, 10019]"
Green,WVC to SLC CBD to SLC Airport LRT,5,7,False,15,15,,3,"[15069, -15070, -15169, -15071, 15072, -15074, -15075, 15078, -15079, -15081, -15083, -15084, 15085, -15088, -15091, -15092, -15094, 15095, -15100, 15104, 15109, -15114, -15118, -15123, 15127, -15157, 15133, -15156, 15136, -15137, 15135, -15155, -15154, -15131, 15130, -15132, 10021, -15153, 15122, -15152, 15110, 15105, -15151, 15101, -15150, -15096, -15090, -15089, -15087, 15093]"
Red,Daybreak to SLC CBD to UofU LRT,3,7,False,15,15,,3,"[15149, 15148, 15147, -15146, -15145, -15144, 15143, -15142, -15158, -15140, -15141, 15139, -15159, 15138, -15160, -15161, 15134, -15171, -15170, 15127, -15123, -15118, -15114, 15109, 15104, -15100, 15095, -15094, 15086, 15080, 15077, -15073, 10016, 15068, -15067, -15065, -15064, -15060, 15059, -15057, -15055, -15054, 15052, 15050, 15042, 15036, -15033, 15024, 15016, -15173, -15174, 15014, -15013, -15012, -15175, -15176, 15011]"
Sline,Sugarhouse Streetcar,7,7,False,15,15,,3,"[15107, 15106, 15103, 15102, 15099, 15098, 15097, -15094, 15095]"
RCRT_OGPN,Ogden to Provo CRT,13,8,False,30,60,,3,"[50024, -50025, -51004, -50026, -50027, -50028, 50029, -50030, -50031, -50032, -50033, -50034, 50035, -50036, -51007, -50037, -51008, -51009, -50039, 50040, -51012, -51011, -51010, -10001, -10002, -10003, -10004, -10005, -10006, -10060, -10007, 10008, -10009, 10010, -10011, -10012, -10013, -10014, -10015, 10016, -10017, -10018, 10019, -10020, 10021, -10022, -10023, -10024, 10025, -10026, -10027, -10028, -10029, -10032, 10031, -10030, -10033, 10035, -10034, 10036, -10037, -10038, -10039, -10040, -10041, 10042, -10043, -10044, -10045, 10046]"
S455,,9,4,True,35,55,,4,"[28936, 28909, 28888, -28880, 28870, -28855, 28851, 28830, -28812, 10046, -28812, -28808, -28806, -28796, 28790, 28772, 28747, 28722, -28731, 28744, -28753, 28768, -28775, 28785, 28767, 28740, -28751, 28766, -28791, 28819, 28858, 28894, 28877, 28841, -28779, -28797, 28820, -28797, -28779, 28727, 28678, 28651, 28631, 28619, 28595, -28579, -28566, -28548, 28535, 28519, 28456, 28430, 28431, -28427, -28424, -28506, -28505, 28485, -28475, -28460, -28450, -28443, -28418, 28394, -28380, -28308, 28258, -28169, 28149, -28118, 28061, 28038, -28023, 27985, -27955, 27935, 27910, -27875, -27824, -27798, -27751, -27675, -27618, -27526, -27449, 27387, 27396, -27403, -27404, 27379, -27367, 27358, -27349, -27330, -27324, 27306, -27286, 27281, -27271, -27240, 27228, -27204, -27166, -29821, -27137, -27082, 10031, -27082, -27137, -29821, -27166, -27204, 27228, -27240, -27271, 27281, -27286, 27306, -27303, -27304, -27310, -27332, 27337, -27335, 27287, 27239, 27257, 27248, 27236, -27126, 27038, 26974, 26889, 26817, 26772, 26743, 26767, 26750, 26739, -26721, 26709, 26687, 26669, 26633, 26616, 26602, 26574, 26569, 26555, 26535, 26514, -26501, 26480, -26468, -26462, 26457, 26435, 26431, -26425, -26407, 26389, -26383, 26359, -26346, -26333, 26330, -26326, 26298, -26284, -26255, 26254, -26249, -26247, -26234, -26225, -26213, -26200, -26176, -26149, -26110, -26053, 25983, -25973, 25972, 25968, -25958, 25929, -25910, 25888, 25848, 25772, 25681, 25639, -25594, 25545, -25570, 25592, 25616, -25636, -25657, 25678, 25698, 25720, -25704, 25677, 25658, 25635, -25618, 25586, 25568, 25540, 25510, 25490, -25517, -25538, 25557, 25584, -25606, -25651, 25673, -25693, 25713, -25722, 25754, 25831, 25879, 25915, -25914, -25890, 25894, 25933, 25981, 26015, 26029, 26078, 26082, 26101, -26168, 26153, 26125, -26126, 26120, -26126, 26125, 26153, -26168, 26101, 26082, 26078, 26029, 26015, 25981, 25933, 25894, -25890, -25914, 25915, 25879, 25831, 25754, -25722, 25713, -25693, 25673, -25651, -25606, 25584, 25557, -25538, -25517, 25490, 25510, 25540, 25568, 25586, -25618, 25635, 25658, 25677, -25704, 25720, 25698, 25678, -25657, -25636, 25616, 25592, -25570, 25545, -25594, 25639, 25681, 25772, 25848, 25888, -25910, 25929, -25958, 25968, 25972, -25973, 25983, -26053, -26091, -26134, -26159, -26211, -26223, -26247, -26249, 26254, -26255, -26284, 26298, -26326, 26330, -26333, -26346, 26359, -26383, 26389, -26407, -26425, 26431, 26435, 26457, -26462, -26468, 26480, -26501, 26514, 26535, 26555, 26569, 26574, 26602, 26616, 26633, 26669, 26687, 26709, -26721, 26739, 26750, 26767, 26743, 26772, 26817, 26889, 26974, 27038, -27126, 27236, 27248, 27257, 27239, 27287, -27335, 27337, -27332, -27310, -27304, -27303, 27306, -27286, 27281, -27271, -27240, 27228, -27204, -27166, -29821, -27137, -27082, 10031, -27082, -27137, -29821, -27166, -27204, 27228, -27240, -27271, 27281, -27286, 27306, -27324, -27330, -27349, 27358, -27367, 27379, -27404, -27403, -27396, -27415, -27435, -27527, -27620, -27678, -27757, -27802, -27827, -27876, 27914, 27937, -27959, 27987, -28025, 28040, 28065, -28122, 28151, -28168, 28259, -28309, -28383, 28403, -28420, -28446, -28454, -28477, 28480, -28497, -28510, -28513, -28434, -28433, 28441, 28456, 28519, 28535, -28548, -28566, -28579, 28595, 28619, 28631, 28651, 28678, 28727, -28779, -28797, 28820, -28797, -28779, 28841, 28877, 28894, 28858, 28819, -28791, 28766, -28751, 28740, 28767, 28785, -28775, 28768, -28753, 28744, -28731, 28722, 28747, 28772, 28790, -28796, -28806, -28808, -28812, 10046, -28812, 28830, 28851, -28855, 28870, -28880, 28888, 28909, 28936]"
