TAZID,PUMA,TRACT,BlockGroup
1,3000,49003960500,490039605001
2,3000,49003960200,490039602004
3,3000,49003960400,490039604003
4,3000,49003960400,490039604003
5,3000,49003960500,490039605001
6,3000,49003960400,490039604003
7,3000,49003960400,490039604003
8,3000,49003960500,490039605001
9,3000,49003960400,490039604003
10,3000,49003960400,490039604003
11,3000,49003960500,490039605002
12,3000,49003960500,490039605002
13,3000,49003960500,490039605002
14,3000,49003960500,490039605002
15,3000,49003960200,490039602004
16,3000,49003960500,490039605001
17,3000,49003960500,490039605002
18,3000,49003960500,490039605002
19,3000,49003960500,490039605001
20,3000,49003960602,490039606021
21,3000,49003960500,490039605001
22,3000,49003960500,490039605001
23,3000,49003960500,490039605001
24,3000,49003960500,490039605001
25,3000,49003960500,490039605001
26,3000,49003960602,490039606023
27,3000,49003960500,490039605002
28,3000,49003960500,490039605002
29,3000,49003960500,490039605002
30,3000,49003960500,490039605003
31,3000,49003960601,490039606011
32,3000,49003960602,490039606023
33,3000,49003960601,490039606011
34,3000,49003960602,490039606023
35,3000,49003960601,490039606012
36,3000,49003960602,490039606021
37,3000,49003960500,490039605002
38,3000,49003960500,490039605002
39,3000,49003960500,490039605002
40,3000,49003960500,490039605003
41,3000,49003960601,490039606013
42,3000,49003960601,490039606013
43,3000,49003960601,490039606012
44,3000,49003960602,490039606022
45,3000,49003960602,490039606022
46,3000,49003960602,490039606022
47,3000,49003960500,490039605002
48,3000,49003960500,490039605002
49,3000,49003960500,490039605002
50,3000,49003960500,490039605002
51,3000,49003960701,490039607011
52,3000,49003960500,490039605004
53,3000,49003960500,490039605004
54,3000,49003960601,490039606014
55,3000,49003960601,490039606014
56,3000,49003960602,490039606022
57,3000,49003960602,490039606022
58,3000,49003960602,490039606022
59,3000,49003960500,490039605002
60,3000,49003960500,490039605002
61,3000,49003960701,490039607012
62,3000,49003960701,490039607012
63,3000,49003960701,490039607011
64,3000,49003960701,490039607012
65,3000,49003960701,490039607011
66,3000,49003960702,490039607021
67,3000,49003960702,490039607022
68,3000,49003960702,490039607022
69,3000,49003960702,490039607022
70,3000,49003960702,490039607021
71,3000,49003960702,490039607021
72,3000,49003960702,490039607022
73,3000,49003960801,490039608011
74,3000,49003960500,490039605002
75,3000,49003960701,490039607012
76,3000,49003960701,490039607012
77,3000,49003960701,490039607012
78,3000,49003960701,490039607013
79,3000,49003960701,490039607013
80,3000,49003960701,490039607013
81,3000,49003960702,490039607021
82,3000,49003960702,490039607021
83,3000,49003960802,490039608021
84,3000,49003960802,490039608021
85,3000,49003960802,490039608021
86,3000,49003960500,490039605002
87,3000,49003960802,490039608021
88,3000,49003960802,490039608021
89,3000,49003960802,490039608021
90,3000,49003960802,490039608021
91,3000,49003960802,490039608021
92,3000,49003960802,490039608021
93,3000,49003960802,490039608022
94,3000,49003960802,490039608022
95,3000,49003960802,490039608022
96,3000,49003960802,490039608021
97,3000,49003960500,490039605002
98,3000,49003960500,490039605002
99,3000,49003960802,490039608023
100,3000,49003960802,490039608023
101,3000,49003960802,490039608023
102,3000,49003960802,490039608023
103,3000,49003960802,490039608023
104,3000,49003960802,490039608023
105,3000,49003960801,490039608013
106,3000,49003960801,490039608012
107,3000,49003960801,490039608013
108,3000,49003960801,490039608013
109,3000,49003960500,490039605002
110,3000,49003960801,490039608013
111,3000,49003960801,490039608013
112,3000,49003960801,490039608013
113,3000,49003960801,490039608013
114,3000,49003960801,490039608012
115,3000,49003960801,490039608013
116,3000,49003960801,490039608013
117,3000,49003960801,490039608013
118,3000,49003960801,490039608012
119,3000,49003960801,490039608013
120,3000,49003960801,490039608013
121,3000,49003960801,490039608013
122,3000,49003960801,490039608012
123,3000,49003960801,490039608013
124,3000,49003960801,490039608013
125,3000,49003960801,490039608013
126,3000,49003960801,490039608012
127,3000,49003960801,490039608013
128,3000,49003960801,490039608013
129,3000,49003960801,490039608013
130,3000,49003960801,490039608012
131,3000,49003960801,490039608012
