Sort Order, Secondary Order,Name,Color,Hex,RGB,Color Category,Color Type,CMYK,Color Origin
1,1,WFRC Blue,,#023c5b,"rgb(2,60,91)",Blue,Logo Brights,C 100%  M 75.19% Y 40.82%  K 30.87%,WFRC Mountains Logo
2,2,Blue,,#036fa8,"rgb(3,111,168)",Blue,Logo Brights,C 90.21%  M 52.89% Y 11.12%  K .48%,SLawless
3,3,Purple,,#553c8f,"rgb(85,60,143)",Purple,Logo Brights,C 81.88%  M 91.64% Y 5.89%  K .63%,SLawless
4,4,Red,,#d32f00,"rgb(211,47,0)",Red,Logo Brights,C 11.11%  M 94.28% Y 100%  K 2.84%,SLawless
5,5,Orange,,#ea7b00,"rgb(234,123,0)",Orange,Logo Brights,C 5.08%  M 62.17% Y 100%  K .15%,SLawless
6,6,Yellow,,#eab500,"rgb(234,181,0)",Yellow,Logo Brights,C 8.96%  M 28.46% Y 100%  K 0%,SLawless
7,7,Green,,#007426,"rgb(0,116,38)",Green,Logo Brights,C 88.8%  M 29.32% Y 100%  K 18.94%,SLawless
8,1,RTP Fuschia,,#9d4879,"rgb(157,72,121)",Purple,RTP Icons,C 39.86%  M 84.49% Y 27.53%  K 4.09%,2019-2050 RTP Infographics
9,2,RTP Maroon,,#6f2d3d,"rgb(111,45,61)",Purple,RTP Icons,C 40.06%  M 86.14% Y 58.46%  K 38.83%,2019-2050 RTP Infographics
10,3,RTP Red,,#c23c33,"rgb(194,60,51)",Red,RTP Icons,C 17.09%  M 90.15% Y 88.75%  K 6.32%,2019-2050 RTP Infographics
11,4,RTP Pink,,#e28c7f,"rgb(226,140,127)",Red,RTP Icons,C 8.77%  M 53.79% Y 44.79%  K 0%,2019-2050 RTP Infographics
12,5,RTP Mustard,,#c98b3a,"rgb(201,139,58)",Yellow,RTP Icons,C 19.83%  M 47.37% Y 92.26%  K 2.55%,Wasatch Choice Logo
13,6,RTP Green,,#789d4b,"rgb(120,157,75)",Green,RTP Icons,C 58.31%  M 21.13% Y 90.84%  K 3.56%,Wasatch Choice Logo
14,7,RTP Seafoam,,#597f72,"rgb(89,127,114)",Green,RTP Icons,C 67.51%  M 35.27% Y 55.73%  K 11.37%,2019-2050 RTP Infographics
15,8,RTP Turquoise,,#608a8f,"rgb(96,138,143)",Blue,RTP Icons,C 65.81%  M 34.22% Y 39.39%  K 4.25%,2019-2050 RTP Infographics
16,9,RTP Blue,,#3f748e,"rgb(63,116,142)",Blue,RTP Icons,C 78.82%  M 46.09% Y 31.77%  K 6.12%,Wasatch Choice Logo
17,10,RTP Purple,,#585377,"rgb(88,83,119)",Purple,RTP Icons,C 72.53%  M 70.38% Y 31.22%  K 13.28%,Wasatch Choice Logo
18,1,WC Metro,,#f15825,"rgb(241,88,37)",Red,WC Centers,C 0%  M 80.47% Y 96.37%  K .03%,Wasatch Choice Vision Map: Metropolitan Centers
19,2,WC Urban,,#e7902a,"rgb(231,144,42)",Orange,WC Centers,C 7.34%  M 50.3% Y 98.29%  K .15%,Wasatch Choice Vision Map: Urban Centers
20,3,WC City,,#fcb622,"rgb(252,182,34)",Yellow,WC Centers,C .3%  M 31.41% Y 96.7%  K 0%,Wasatch Choice Vision Map: City Centers
21,4,WC Neighborhood,,#fedb97,"rgb(254,219,151)",Yellow,WC Centers,C .32%  M 13.6% Y 46.75%  K 0%,Wasatch Choice Vision Map: Neighborhood Centers
22,5,WC Residential,,#e2e4c7,"rgb(226,228,199)",Green,WC Centers,C 11.45%  M 8.84% Y 24.04%  K 0%,Wasatch Choice Vision Map: Residential Centers
23,6,WC Open Space,,#adb79b,"rgb(173,183,155)",Green,WC Centers,C 34.15%  M 19.58% Y 42.04%  K 0%,Wasatch Choice Vision Map: Open Space
24,7,WC Emp,,#d8a19f,"rgb(216,161,159)",Red,WC Centers,C 13.75%  M 40.35% Y 29.01%  K 0%,Wasatch Choice Vision Map: Employment
25,8,WC Indust,,#c1a0cb,"rgb(193,160,203)",Purple,WC Centers,C 22.74%  M 38.83% Y 0%  K 0%,Wasatch Choice Vision Map: Industrial
26,9,WC Roadways,,#a3423c,"rgb(163,66,60)",Red,WC Lines,C 25.5%  M 83.94% Y 76.8%  K 17.09%,Wasatch Choice Vision Map: Roadway Lines
27,10,WC Transit 1,,#24949a,"rgb(36,148,154)",Blue,WC Lines,C 79.51%  M 23.77% Y 39.36%  K 1.46%,Wasatch Choice Vision Map: BRT
28,11,WC Transit 2,,#3762ad,"rgb(55,98,173)",Blue,WC Lines,C 84.83%  M 65.37% Y .37%  K .03%,Wasatch Choice Vision Map: Light Rail
29,12,WC Transit 3,,#24316d,"rgb(36,49,109)",Blue,WC Lines,C 100%  M 92.89% Y 27.65%  K 15.27%,Wasatch Choice Vision Map: Commuter Rail
30,13,WC AT,,#799f4c,"rgb(121,159,76)",Green,WC Lines,C 58.04%  M 20.15% Y 90.71%  K 3.08%,Wasatch Choice Vision Map: Active Transportation Trails
